,30.0,block,game,participant,condition,experiment,dyad,mapping
1,7.0,1,1,c01_p1,control,4.0,c01,s
2,9.0,2,1,c01_p1,control,4.0,c01,s
3,5.0,3,1,c01_p1,control,4.0,c01,s
5,5.0,1,1,c02_p1,control,4.0,c02,d
6,1.0,2,1,c02_p1,control,4.0,c02,d
7,3.0,3,1,c02_p1,control,4.0,c02,d
9,4.0,1,1,c03_p1,control,4.0,c03,d
10,3.0,2,1,c03_p1,control,4.0,c03,d
11,0.0,3,1,c03_p1,control,4.0,c03,d
13,10.0,1,1,c05_p1,control,4.0,c05,d
14,10.0,2,1,c05_p1,control,4.0,c05,d
15,11.0,3,1,c05_p1,control,4.0,c05,d
17,8.0,1,1,c06_p1,control,4.0,c06,d
18,6.0,2,1,c06_p1,control,4.0,c06,d
19,11.0,3,1,c06_p1,control,4.0,c06,d
21,8.0,1,1,c07_p1,control,4.0,c07,d
22,2.0,2,1,c07_p1,control,4.0,c07,d
23,0.0,3,1,c07_p1,control,4.0,c07,d
25,8.0,1,1,c09_p1,control,4.0,c09,d
26,8.0,2,1,c09_p1,control,4.0,c09,d
27,10.0,3,1,c09_p1,control,4.0,c09,d
29,6.0,1,1,c10_p1,control,4.0,c10,d
30,1.0,2,1,c10_p1,control,4.0,c10,d
31,0.0,3,1,c10_p1,control,4.0,c10,d
33,8.0,1,1,c11_p1,control,4.0,c11,d
34,3.0,2,1,c11_p1,control,4.0,c11,d
35,5.0,3,1,c11_p1,control,4.0,c11,d
37,11.0,1,1,c12_p1,control,4.0,c12,s
38,10.0,2,1,c12_p1,control,4.0,c12,s
39,9.0,3,1,c12_p1,control,4.0,c12,s
41,10.0,1,1,c13_p1,control,4.0,c13,s
42,7.0,2,1,c13_p1,control,4.0,c13,s
43,5.0,3,1,c13_p1,control,4.0,c13,s
45,9.0,1,1,c14_p1,control,4.0,c14,s
46,3.0,2,1,c14_p1,control,4.0,c14,s
47,4.0,3,1,c14_p1,control,4.0,c14,s
49,12.0,1,1,c15_p1,control,4.0,c15,s
50,13.0,2,1,c15_p1,control,4.0,c15,s
51,8.0,3,1,c15_p1,control,4.0,c15,s
53,9.0,1,1,c16_p1,control,4.0,c16,s
54,3.0,2,1,c16_p1,control,4.0,c16,s
55,3.0,3,1,c16_p1,control,4.0,c16,s
57,3.0,1,1,c17_p1,control,4.0,c17,s
58,1.0,2,1,c17_p1,control,4.0,c17,s
59,1.0,3,1,c17_p1,control,4.0,c17,s
61,3.0,1,1,c18_p1,control,4.0,c18,s
62,4.0,2,1,c18_p1,control,4.0,c18,s
63,6.0,3,1,c18_p1,control,4.0,c18,s
65,12.0,1,1,s01_p1,control,3.0,s01,d
66,9.0,2,1,s01_p1,control,3.0,s01,d
67,12.0,3,1,s01_p1,control,3.0,s01,d
69,9.0,1,1,s03_p1,control,3.0,s03,d
70,8.0,2,1,s03_p1,control,3.0,s03,d
71,8.0,3,1,s03_p1,control,3.0,s03,d
73,0.0,1,1,s05_p1,control,3.0,s05,d
74,0.0,2,1,s05_p1,control,3.0,s05,d
75,10.0,3,1,s05_p1,control,3.0,s05,d
77,1.0,1,1,s06_p1,control,3.0,s06,d
78,0.0,2,1,s06_p1,control,3.0,s06,d
79,10.0,3,1,s06_p1,control,3.0,s06,d
81,10.0,1,1,s07_p1,control,3.0,s07,d
82,7.0,2,1,s07_p1,control,3.0,s07,d
83,4.0,3,1,s07_p1,control,3.0,s07,d
85,0.0,1,1,s08_p1,control,3.0,s08,d
86,0.0,2,1,s08_p1,control,3.0,s08,d
87,1.0,3,1,s08_p1,control,3.0,s08,d
