SessionNum,c01,,,,,,,
SessionDate,11/05/2019,,,,,,,
Player1ID,,,,,,,,
Player2ID,Tester,,,,,,,
TesterName,,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,c01/000,,,,,,,
LSLFileName,c01.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,1,1,2,,0,02:57.169,,
1,2,2,,,,,,
1,3,1,1,,1,03:05.346,,
1,4,2,,,,,,
1,5,1,3,,0,03:12.216,,
1,6,2,,,,,,
1,7,1,1,,1,03:20.359,,cannot see finger
1,8,2,,,,,,
1,9,1,1,,1,03:27.832,03:29.038,use left hand
1,10,2,,,,,,
1,11,1,2,,1,03:35.908,,
1,12,2,,,,,,
1,13,1,2,,1,03:42.978,,
1,14,2,,,,,,
1,15,1,3,,0,03:50.216,,
1,16,2,,,,,,
1,17,1,2,,1,03:57.254,,"not sure if participant touched the screen again, but based on the time of the result there was no 2nd touch"
1,18,2,,,,,,
1,19,1,1,,1,04:09.887,04:11.127,player 2 had a 2nd touch
1,20,2,,,,,,
1,21,1,2,,0,04:16.522,,cannot see finger
1,22,2,,,,,,
1,23,1,3,,1,04:23.459,,
1,24,2,,,,,,
1,25,1,3,,0,04:30.462,,barely see finger
1,26,2,,,,,,
1,27,1,1,,1,04:37.198,,
1,28,2,,,,,,
1,29,1,1,,1,04:46.011,04:47.318,2nd touch
1,30,2,,,,,,
1,31,1,2,,1,04:53.886,,
1,32,2,,,,,,
1,33,1,2,,1,05:01.460,05:02.666,2nd touch/05:02.297
1,34,2,,,,,,
1,35,1,1,,1,05:09.636,,
1,36,2,,,,,,
1,37,1,3,,0,05:16.841,,cannot see finger
1,38,2,,,,,,
1,39,1,2,,1,05:23.811,05:25.017,should be result from 1st touch
1,40,2,,,,,,
1,41,1,1,,1,05:31.988,,
1,42,2,,,,,,
1,43,1,1,,1,05:39.795,,
1,44,2,,,,,,
1,45,1,2,,1,05:46.632,,
1,46,2,,,,,,
1,47,1,2,,1,05:53.736,,
1,48,2,,,,,,
1,49,1,3,,0,06:01.343,06:02.583,should be result from 1st touch
1,50,2,,,,,,
1,51,1,2,,0,06:08.145,,
1,52,2,,,,,,
1,53,1,1,,1,06:15.249,06:16.456,
1,54,2,,,,,,
1,55,1,3,,0,06:24.498,,
1,56,2,,,,,,
1,57,1,2,,1,06:31.804,,
1,58,2,,,,,,
1,59,1,2,,1,06:38.640,06:39.947,
1,60,2,,,,,,
1,61,1,2,,1,06:45.342,06:46.548,
1,62,2,,,,,,
1,63,1,3,,0,06:24.498,,
1,64,2,,,,,,
1,65,1,2,,1,06:31.804,,
1,66,2,,,,,,
1,67,1,2,,1,06:38.640,,
1,68,2,,,,,,
1,69,1,2,,1,06:45.342,06:46.548,
1,70,2,,,,,,
1,71,1,1,,1,06:54.122,,
1,72,2,,,,,,
1,73,1,2,,0,07:01.460,,
1,74,2,,,,,,
1,75,1,1,,1,07:08.497,,
1,76,2,,,,,,
1,77,1,2,,1,07:14.730,,
1,78,2,,,,,,
1,79,1,3,,0,07:22.069,07:23.376,
1,80,2,,,,,,
1,81,1,2,,0,07:29.240,,
1,82,2,,,,,,
1,83,1,1,,1,07:43.382,07:44.622,
1,84,2,,,,,,
1,85,1,2,,0,07:50.989,,
1,86,2,,,,,,
1,87,1,1,,1,07:58.529,,
1,88,2,,,,,,
1,89,1,1,,1,08:05.365,08:06.605,
1,90,2,,,,,,
1,91,1,3,,1,08:12.100,,
1,92,2,,,,,,
1,93,1,2,,1,08:18.769,,
1,94,2,,,,,,
1,95,1,3,,1,08:26.845,,
1,96,2,,,,,,
1,97,1,1,,0,08:34.217,,
