SessionNum,c04,,,,,,,
SessionDate,11/06/2019,,,,,,,
Player1ID,c04,,,,,,,
Player2ID,N/A,,,,,,,
TesterName,Jia-hui and Simone,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,c04/001,,,,,,,
LSLFileName,c04.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,1,1,1,,1,1:38.185,,2 Tou (1st Tou)
1,2,2,,,,,,
1,3,1,2,,1,1:51.891,,
1,4,2,,,,,,
1,5,1,3,,0,2:00.436,,
1,6,2,,,,,,
1,7,1,1,,1,2:13.941,,
1,8,2,,,,,,
1,9,1,2,,0,2:24.664,2:25.871,
1,10,2,,,,,,
1,11,1,3,,0,2:33.746,,
1,12,2,,,,,,
1,13,1,1,,1,2:47.351,,2 Tou; Score +1
1,14,2,,,,,,
1,15,1,3,,1,3:05.648,,
1,16,2,,,,,,
1,17,1,1,,1,3:18.683,,2 Tou (1st Tou)
1,18,2,,,,,,
1,19,1,3,,0,3:29.138,3:30.479,
1,20,2,,,,,,
1,21,1,1,,0,3:43.280,,2 Tou (1st Tou); Score +2
1,22,2,,,,,,
1,23,1,2,,1,4:21.381,,
1,24,2,,,,,,
1,25,1,3,,0,4:29.792,,2 Tou (1st Tou)
1,26,2,,,,,,
1,27,1,1,,1,4:42.225,,2 Tou (1st Tou)
1,28,2,,,,,,
1,29,1,2,,0,4:52.412,4:53.652,2 Tou (1st Tou)
1,30,2,,,,,,
1,31,1,1,,1,5:01.594,,
1,32,2,,,,,,
1,33,1,1,,1,6:00.371,,2 Tou (1st Tou); Re-enter game
1,34,2,,,,,,
1,35,1,3,,0,6:07.542,,
1,36,2,,,,,,
1,37,1,1,,1,6:14.077,,2 Tou (1st Tou)
1,38,2,,,,,,
1,39,1,1,,1,6:22.756,6:23.996,2 Tou (1st Tou)
1,40,2,,,,,,
1,41,1,1,,1,6:30.128,,2 Tou (1st Tou)
1,42,2,,,,,,
1,43,1,2,,1,6:37.031,,
1,44,2,,,,,,
1,45,1,2,,1,6:43.968,,
1,46,2,,,,,,
1,47,1,1,,1,6:50.100,,2 Tou (1st Tou)
1,48,2,,,,,,
1,49,1,1,,0,6:56.099,6:57.305,2 Tou (1st Tou)
1,50,2,,,,,,
1,51,1,2,,1,7:06.118,,
1,52,2,,,,,,
1,53,1,2,,0,,,Occluded
1,54,2,,,,,,
1,55,1,1,,1,7:29.877,,
1,56,2,,,,,,
1,57,1,1,,1,7:41.840,,
1,58,2,,,,,,
1,59,1,3,,0,,7:50.419,Occluded
1,60,2,,,,,,
1,61,1,1,,1,8:00.874,,
1,62,2,,,,,,
1,63,1,1,,1,8:17.495,,
1,64,2,,,,,,
1,65,1,1,,0,8:29.023,,
1,66,2,,,,,,
1,67,1,2,,0,8:39.478,,
1,68,2,,,,,,
1,69,1,1,,1,8:49.665,8:50.939,Score +1
1,70,2,,,,,,
1,71,1,1,,1,9:05.750,,2 Tou
1,72,2,,,,,,
1,73,1,1,,1,9:13.826,,2 Tou (1st Tou)
1,74,2,,,,,,
1,75,1,1,,1,9:22.070,,2 Tou (1st Tou)
1,76,2,,,,,,
1,77,1,2,,1,9:34.804,,2 Tou (1st Tou)
1,78,2,,,,,,
1,79,1,1,,1,9:48.040,9:49.314,2 Tou (1st Tou)
1,80,2,,,,,,
1,81,1,1,,1,10:02.416,,
1,82,2,,,,,,
1,83,1,2,,0,10:10.828,,
1,84,2,,,,,,
1,85,1,1,,1,10:20.512,,Score +1
1,86,2,,,,,,
1,87,1,1,,1,11:14.196,,2 Tou; Score +1
1,88,2,,,,,,
1,89,1,1,,1,11:35.642,11:36.916,2 Tou; Score +1
1,90,2,,,,,,
1,91,1,2,,1,,11:54.676,Occluded; Score +1
1,92,2,,,,,,
1,93,1,1,,1,12:06.774,,Score +1
1,94,2,,,,,,
1,95,1,1,,1,12:17.162,,Score +1
1,96,2,,,,,,
1,97,1,1,,0,12:31.973,,Score +1
1,98,2,,,,,,
1,99,1,2,,1,12:44.340,12:45.612,Score +1
1,100,2,,,,,,
1,101,1,1,,1,12:54.995,,
1,102,2,,,,,,
1,103,1,1,,1,13:06.355,,
1,104,2,,,,,,
1,105,1,2,,1,13:13.660,,
1,106,2,,,,,,
1,107,1,1,,1,13:25.255,,
1,108,2,,,,,,
1,109,1,2,,1,13:33.398,13:34.671,
1,110,2,,,,,,
1,111,1,1,,1,13:40.301,,
1,112,2,,,,,,
1,113,1,2,,0,13:51.996,,Score +1
1,114,2,,,,,,
1,115,1,1,,1,14:14.147,,
1,116,2,,,,,,
1,117,1,1,,1,14:22.692,,
1,118,2,,,,,,
1,119,1,2,,1,14:30.098,14:31.371,Score +3
1,120,2,,,,,,
1,121,1,1,,1,15:04.613,,
1,122,2,,,,,,
1,123,1,2,,0,15:22.240,,
1,124,2,,,,,,
1,125,1,1,,1,15:33.231,,Score +1
1,126,2,,,,,,
1,127,1,1,,1,15:45.697,,
1,128,2,,,,,,
1,129,1,2,,1,15:53.304,15:54.611,
1,130,2,,,,,,
1,131,1,1,,1,16:01.413,,
1,132,2,,,,,,
1,133,1,1,,1,16:09.389,,
1,134,2,,,,,,
1,135,1,2,,0,16:16.426,,
1,136,2,,,,,,
1,137,1,1,,1,16:23.530,,
1,138,2,,,,,,
1,139,1,1,,1,16:30.735,16:32.008,
1,140,2,,,,,,
1,141,1,2,,0,16:37.940,,
1,142,2,,,,,,
1,143,1,1,,1,16:44.742,,
1,144,2,,,,,,
1,145,1,1,,1,16:54.594,,
1,146,2,,,,,,
1,147,1,1,,0,17:01.598,,
1,148,2,,,,,,
1,149,1,2,,0,17:08.233,17:09.507,
1,150,2,,,,,,
1,151,1,1,,1,17:15.270,,
1,152,2,,,,,,
1,153,1,3,,0,17:23.916,,
1,154,2,,,,,,
1,155,1,1,,1,17:30.853,,
1,156,2,,,,,,
1,157,1,,,,,,
1,158,2,,,,,,
1,159,1,,,,,,
1,160,2,,,,,,
1,161,1,,,,,,
1,162,2,,,,,,
1,163,1,,,,,,
1,164,2,,,,,,
1,165,1,,,,,,
1,166,2,,,,,,
1,167,1,,,,,,
1,168,2,,,,,,
1,169,1,,,,,,
1,170,2,,,,,,
1,171,1,,,,,,
1,172,2,,,,,,
1,173,1,,,,,,
1,174,2,,,,,,
1,175,1,,,,,,
1,176,2,,,,,,
1,177,1,,,,,,
1,178,2,,,,,,
1,179,1,,,,,,
1,180,2,,,,,,
1,181,1,,,,,,
1,182,2,,,,,,
1,183,1,,,,,,
1,184,2,,,,,,
1,185,1,,,,,,
1,186,2,,,,,,
1,187,1,,,,,,
1,188,2,,,,,,
1,189,1,,,,,,
1,190,2,,,,,,
1,191,1,,,,,,
1,192,2,,,,,,
1,193,1,,,,,,
1,194,2,,,,,,
1,195,1,,,,,,
1,196,2,,,,,,
1,197,1,,,,,,
1,198,2,,,,,,
1,199,1,,,,,,
1,200,2,,,,,,
2,1,1,1,,0,19:51.395,,
2,2,2,,,,,,
2,3,1,2,,1,19:57.561,,
2,4,2,,,,,,
2,5,1,3,,0,20:03.794,,
2,6,2,,,,,,
2,7,1,2,,1,20:11.066,,
2,8,2,,,,,,
2,9,1,2,,1,20:18.371,20:19.577,
2,10,2,,,,,,
2,11,1,2,,1,20:28.257,,
2,12,2,,,,,,
2,13,1,2,,1,20:35.763,,
2,14,2,,,,,,
2,15,1,3,,1,20:43.303,,
2,16,2,,,,,,
2,17,1,2,,0,20:50.105,,
2,18,2,,,,,,
2,19,1,3,,0,20:57.009,20:58.215,
2,20,2,,,,,,
2,21,1,2,,1,21:03.510,,
2,22,2,,,,,,
2,23,1,1,,1,21:13.563,,2 Tou
2,24,2,,,,,,
2,25,1,2,,1,21:20.365,,
2,26,2,,,,,,
2,27,1,1,,1,21:27.436,,
2,28,2,,,,,,
2,29,1,2,,0,21:35.546,21:36.785,
2,30,2,,,,,,
2,31,1,1,,1,21:42.147,,
2,32,2,,,,,,
2,33,1,2,,1,21:48.682,,
2,34,2,,,,,,
2,35,1,2,,0,22:03.594,,
2,36,2,,,,,,
2,37,1,1,,1,22:10.329,,
2,38,2,,,,,,
2,39,1,2,,0,22:18.808,22:20.047,
2,40,2,,,,,,
2,41,1,1,,1,22:27.319,,
2,42,2,,,,,,
2,43,1,2,,0,22:34.289,,
2,44,2,,,,,,
2,45,1,1,,1,22:42.566,,
2,46,2,,,,,,
2,47,1,1,,1,22:49.771,,
2,48,2,,,,,,
2,49,1,1,,1,23:01.667,23:02.840,
2,50,2,,,,,,
2,51,1,1,,1,23:13.396,,Score +2
2,52,2,,,,,,
