300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,3,4,4,6,6,7,8,10,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,142,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,2,3,3,3,1,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,3,2,3,1,3,3,3,2,3,3,3,2,3,1,3,1,3,2,3,3,3,3,3,3,3,1,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,1,3,1,3,2,3,1,3,3,3,3,3,3,3,3,3,1,3,1,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
90,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,90,30,30,30,90,30,90,30,60,30,90,30,30,30,90,30,60,30,90,30,60,30,90,30,90,30,90,30,90,30,30,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,30,30,30,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,90,30,90,30,90,30,90,30,90,30,30,30,60,30,60,30,60,30,90,30,90,30,90,30,90,30,30,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,60,30,30,30,60,30,30,30,90,30,60,30,90,30,60,30,30,30,30,30,60,30,90,30,90,30,90,30,30,30,60,30,30,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,30,30,90,30,90,30,30,30,90,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,30,30,90,30,90,30,60,30,90,30,90,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,30,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,60,30,60,30,30,30,30,30,60,30,30,30,90,30,90,30,90,30,90,30,30,30,30,30,30,30,30,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,30,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,90,30,30,30,90,30,90,30,60,30,90,30,90,30,90,30,90,30,90,30,60,30,30,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,60,30,90,30,90,30,90,30,90,30,90,30,90,30,30,30,90,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.135425,2.545789,7.996138,3.01831,1.015114,5.250202,1.011486,1.681567,1.076922,56.46539,1.009448,1.014904,4.86657,3.201534,3.941102,3.464778,3.853575,2.937824,6.04472,2.786448,3.542193,3.000088,3.405138,2.963392,3.548979,2.85192,3.773011,2.840264,3.66919,2.856641,3.197128,2.880316,3.54966,2.875484,3.501196,2.792422,3.309431,2.76882,3.261049,5.48865,3.245932,2.938855,4.220514,2.921904,3.364855,2.864757,3.437201,3.132248,3.444764,2.455034,3.541082,2.939938,3.565152,2.952497,3.508779,3.113455,3.35702,3.032187,3.397158,5.305321,3.517425,3.073745,3.323999,2.881077,3.446051,2.943952,3.276888,3.049083,3.350033,2.951965,3.515696,2.849458,3.405276,3.54512,3.396361,2.811423,3.397848,2.720432,3.26114,2.800871,3.436602,2.601255,3.270164,2.824264,3.308996,4.648592,3.381117,2.777539,3.629683,2.94331,3.581412,5.67574,3.32511,2.824723,3.684774,2.873708,3.404123,2.801364,3.612981,2.960932,3.349603,2.753149,3.507825,2.66546,3.533528,2.61593,3.349718,2.635178,3.885119,2.696605,3.749152,2.920236,3.708545,2.049565,3.253333,3.112472,3.613235,2.977491,3.356812,2.979905,3.65238,2.979635,3.2211,2.864402,3.133566,3.409971,3.524545,2.867342,3.396961,2.873141,3.404269,2.617271,8.684481,2.736697,3.38038,4.881456,4.717166,2.9391,3.573383,2.882741,3.300585,2.993292,1.509456,3.808585,3.381085,2.865646,3.469857,3.063815,3.372955,2.984952,3.741438,2.928417,4.078049,2.848479,3.996234,2.828183,3.46098,2.809368,4.588343,2.801066,3.309398,2.778533,3.221621,2.801287,3.348529,2.76053,4.125163,2.841537,3.676952,2.880098,3.597121,3.115251,3.301218,3.051031,3.221183,2.721725,3.380262,2.920648,3.669479,2.810629,4.110758,2.791758,3.388657,3.284308,3.308893,2.739382,3.684772,3.123761,3.500637,2.849026,3.629153,5.385459,3.380678,2.064707,3.477097,2.969654,3.604154,2.736806,3.444935,2.939983,5.495331,2.739155,3.124947,2.739345,3.980659,2.858518,4.10128,2.490009,4.189789,2.558153,3.738133,2.802185,3.541121,2.932097,3.56443,2.778563,3.453306,2.81044,3.676989,2.802925,4.78828,2.594367,3.453596,2.89808,4.620974,3.098399,3.781255,2.635562,3.98958,2.650611,3.309556,2.618372,6.453138,2.79396,4.876739,2.794278,8.558355,2.785859,3.597077,3.044529,3.532731,3.03468,3.620803,2.753642,3.758605,3.226238,3.46089,2.714952,3.476333,4.962539,3.549298,2.778877,3.700166,2.804285,4.843819,2.770991,3.661099,2.826004,3.269387,2.842632,3.372483,2.812515,3.220463,2.761936,8.246138,2.849427,3.38149,2.842516,4.060667,2.947027,3.292559,2.803031,3.252609,2.99503,3.956148,2.604032,7.908769,2.84335,4.300777,2.643417,3.908888,2.810723,3.844226,2.613402,3.405888,2.699107,3.252948,2.643565,6.933183,2.818904,4.420513,2.746567,3.613407,2.913479,3.110006,2.698297,3.436789,2.499208,3.285358,2.972012,3.283779,3.059953,3.572748,2.827088,3.172853,3.63467,3.085455,2.682303,3.764451,2.723036,3.501412,2.969721,3.116889,2.802095,3.205398,2.586429,3.412734,2.650502,4.012536,2.507565,3.740278,2.556332,3.324203,2.714497,2.997863,2.625252,3.589406,2.80209,3.197202,2.610292,3.021438,2.689547,3.837659,2.585874,6.597533,2.675695,3.253213,2.689917,3.477417,3.267605,3.501143,2.739527,3.932703,2.731376,3.428887,2.579879,8.732284,3.011534,3.467784,2.779507,3.772416,2.827225,3.764679,2.8189,3.683623,2.851243,4.093061,2.803052,3.428507,2.8673,8.212111,2.954527,4.060431,2.836252,3.693466,2.699547,3.444885,2.74571,3.972736,2.602728,3.421571,2.810382,7.485283,2.810915,3.060292,2.859787,2.989424,2.786143,3.148791,3.098785,4.156885,2.866265,3.468472,2.723386,4.038311,2.745702,3.845564,3.018211,3.396582,2.755322,3.429313,2.63359,3.588942,2.713299,3.933741,3.947417,3.99581,2.867564,3.397195,2.818558
0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9,9,10,10,10,10,10,10,11,11,12,12,13,13,13,13,14,14,15,15,16,16,16,16,17,17,18,18,18,18,19,19,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,44,44,45,45,46,46,47,47,48,48,49,49,49,49,49,49,50,50,51,51,51,51,52,52,53,53,54,54,55,55,55,55,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,62,62,63,63,64,64,64,64,65,65,66,66,67,67,68,68,68,68,68,68,69,69,70,70,70,70,71,71,71,71,71,71,71,71,72,72,73,73,74,74,75,75,76,76,76,0,0,0,1,1,2,2,3,3,3,3,4,4,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10,10,11,11,12,12,13,13,14,14,15,15,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,22,22,23,23,24,24,24,24,25,25,26,26,27,27,28,28,29,29,30,30,30,30,30,30,31,31,32,32,32,32,32,32,32,32,33,33,34,34,35,35,36,36,36,36,36,36,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,45,45,46,46,47,47,48,48,49,49,50,50,51,51,51,51,52,52,52,52,52,52,52,52,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,60,60,60,60,61,61,62,62,63,63,64,64,64,64,65,65,66,66,67,67,67,67,68,68,69,69,70,70,71,71,72,72,73,73,73,73,74
0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,19,19,20,20,21,21,22,22,22,22,22,22,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,26,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,29,29,30,30,30,30,30,30,30,30,30,30,30,30,31,31,32,32,33,33,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,19,19,20,20,20,20,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,25,25,25,25,26,26,27,27,28,28,28,28,29,29,29,29,29,29,29,29,29,29,30,30,31,31,32,32,32,32,33,33,33,33,33,33,33,33,33,33,34,34,34,34,35,35,35,35,35,35,35,35
