300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,2,2,3,3,4,4,5,5,6,6,7,7,7,8,8,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,19,20,21,21,22,22,22,23,24,24,25,25,26,26,27,27,27,28,28,29,30,30,30,31,31,32,33,33,34,34,34,35,35,36,37,37,37,38,38,39,40,40,41,41,41,42,42,43,44,44,44,45,46,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,56,56,57,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,65,65,66,66,66,67,68,68,68,69,69,70,70,71,72,72,72,73,73,74,74,75,76,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,98,98,98,99,99,100,1,1,2,2,2,3,3,4,4,5,6,6,7,7,8,8,8,9,10,10,10,11,12,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,28,28,29,29,29,30,31,31,31,32,33,33,33,34,34,35,35,36,37,37,38,38,39,39,39,40,40,41,41,42,43,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,59,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,94,94,94,95,96,96,96,97,97,98,98,99,99,100
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
3,1,2,1,3,1,1,2,3,2,2,3,1,3,3,1,3,1,2,2,1,2,3,1,2,1,3,3,1,3,3,3,2,1,1,1,1,2,3,2,3,1,2,3,1,3,2,1,3,1,1,1,3,2,1,2,3,3,2,3,1,1,3,1,2,2,1,2,3,2,1,2,2,2,2,2,3,2,3,2,2,1,3,1,3,1,2,1,3,3,1,2,3,2,3,2,1,2,3,1,3,1,1,2,3,1,3,1,2,1,3,3,2,2,1,2,3,2,2,2,1,2,3,2,2,2,3,2,1,1,3,1,2,1,3,2,3,2,1,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,3,2,3,2,1,2,2,2,3,2,3,2,1,2,3,2,1,2,2,2,1,2,3,2,1,2,3,2,2,2,2,2,2,2,1,2,3,3,1,3,2,3,3,2,1,2,3,2,3,2,1,2,2,1,3,1,3,3,2,3,1,3,1,3,1,2,3,2,1,2,3,2,1,2,3,1,2,1,3,2,1,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,3,2,3,3,3,1,3,2,3,3,3,1,3,2,3,3,3,1,3,2,1,3,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,1,2,3,2,3,2,1,2,3,2,2,2,3,2,1,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3,2,1,2,3,2,1,2,3,2,3,1,2,1,3,1,2,1,3,2,1,2,3,2,3,2,1,2,3,2,2,2
90,60,30,60,90,60,60,90,90,90,30,30,60,30,90,60,90,60,30,90,60,90,90,60,30,60,90,30,60,30,90,30,30,60,60,60,60,90,90,90,90,60,30,30,60,30,30,60,90,60,60,60,90,90,60,90,90,30,30,30,60,60,90,60,30,90,60,90,90,90,60,90,30,90,30,90,90,90,90,90,30,60,90,60,90,60,30,60,90,30,60,90,90,90,90,90,60,90,90,60,90,60,60,90,90,60,90,60,30,60,90,30,30,90,60,90,90,90,30,90,60,90,90,90,30,90,90,90,60,60,90,60,30,60,90,90,90,90,60,90,90,90,60,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,30,90,90,90,90,90,60,90,90,90,60,90,30,90,60,90,90,90,60,90,90,90,30,90,30,90,30,90,60,90,90,30,60,30,30,30,90,90,60,90,90,90,90,90,60,90,30,60,90,60,90,30,30,30,60,30,60,30,60,90,90,90,60,90,90,90,60,90,90,60,30,60,90,90,60,90,90,90,60,90,60,90,90,90,60,90,30,90,90,90,60,30,30,30,90,30,60,30,30,30,90,30,60,30,30,30,90,30,60,30,30,60,90,90,60,90,90,90,90,90,60,90,90,90,30,90,60,90,90,90,90,90,60,90,90,90,60,90,90,90,90,90,60,90,90,90,30,90,90,90,60,90,90,90,60,90,30,90,90,90,60,90,90,90,90,90,60,90,90,90,60,90,90,90,60,90,90,90,60,90,90,90,60,90,90,90,30,90,30,90,30,90,30,90,30,90,30,90,60,90,90,90,30,90,90,90,60,90,90,90,60,90,90,90,90,60,30,60,90,60,30,60,90,90,60,90,90,90,90,90,60,90,90,90,30,90
1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
4.566815,3.515316,2.667728,3.09552,2.56332,2.741686,2.485812,2.711703,2.354906,2.900613,2.011036,2.766681,2.623746,2.996824,1.842119,2.789458,1.620227,3.149496,2.122983,2.580355,2.023033,2.946322,2.258922,2.731406,2.124118,2.671725,2.298899,2.467821,2.126981,2.093002,2.058975,2.109996,1.727175,1.895093,2.298899,2.284907,2.114997,2.039024,1.778149,2.06901,1.63822,2.236931,1.858114,2.270912,1.789091,2.123985,1.727173,2.150977,1.639218,2.292521,2.109997,1.772158,1.870106,1.985051,1.865106,2.056016,1.690193,1.932077,1.719178,1.956066,1.875158,1.751162,1.883615,1.615228,1.987162,1.973058,1.702079,1.84468,1.755162,1.765154,1.923081,1.782147,2.010038,1.526272,1.908546,2.084003,1.667203,1.860111,1.647582,2.01516,1.694192,1.539263,1.711179,1.460303,1.436312,1.499826,2.475351,2.228935,1.787145,1.574244,1.82213,1.517275,1.59024,1.804138,1.738176,1.158449,1.451308,1.660206,1.484288,2.118994,1.443318,2.101995,1.689192,2.38986,1.36535,2.029031,1.283591,2.180964,1.420323,1.812131,1.494286,2.79666,1.622227,2.573216,1.803145,2.347875,1.692187,1.911088,1.563251,2.23593,1.322917,2.366868,1.202425,2.147974,1.571246,2.551778,1.763158,2.02903,1.710183,2.315893,1.750167,1.980131,1.890097,1.996046,1.486297,2.774673,1.651208,2.167971,1.683196,2.223937,1.731147,2.061014,3.123696,2.020692,1.908086,2.147974,1.827413,2.244926,1.546775,1.744166,2.058018,2.092996,1.555258,1.861107,1.707188,1.947991,1.476292,1.668202,1.555812,2.012036,1.475293,1.412327,1.579245,1.623224,1.699188,1.495285,1.443314,1.563252,1.459302,2.01903,1.419321,1.939075,1.389337,2.099996,1.42632,1.812133,1.412059,1.527403,1.419322,1.612229,1.274179,1.760156,1.384338,1.885105,1.386336,1.908045,1.562251,2.252446,1.579244,2.130555,1.524331,1.688192,1.817134,1.796141,1.598236,2.495807,1.79514,1.888092,1.348233,1.623233,1.762157,2.653733,2.572767,2.900615,1.733173,2.09187,1.261395,1.95752,1.364949,1.83113,1.516274,1.845117,1.587247,1.511279,1.59624,1.8771,1.637219,1.773155,2.396852,1.496285,1.453303,2.032028,1.710181,1.741166,1.390338,1.829125,1.621224,1.645213,1.412326,1.918085,1.524276,1.774152,1.437311,1.567252,1.533266,2.141977,1.414318,1.98845,1.492283,1.869105,1.653208,1.957543,1.524271,1.768154,1.708182,1.598235,1.676197,1.71018,1.517272,1.901093,1.453305,1.733172,1.23641,1.773154,1.54326,1.861112,1.558256,1.398332,1.492287,2.061013,1.569249,1.941617,1.350828,1.813027,1.735171,1.662192,1.420325,1.781609,1.581243,1.535306,1.501033,2.069011,1.510277,2.006039,1.540263,1.776363,1.630219,2.052017,1.468298,1.65521,1.58125,1.52627,1.396333,1.941069,1.727174,1.910089,1.62822,1.886098,1.467298,1.764158,1.229414,2.189954,1.86903,1.806134,1.725179,2.021031,1.653207,1.918082,1.637218,1.948963,1.4763,1.663204,1.494227,1.605232,1.652224,1.558257,1.612227,1.838123,1.244404,1.941071,1.349353,1.889097,1.396332,1.728173,1.667205,1.734171,1.846119,1.557255,1.452308,1.79814,1.356351,1.831127,1.284918,1.821129,1.34835,1.942073,1.276733,1.894101,1.644213,1.869106,1.565251,1.44731,1.620223,1.773698,1.468298,2.054018,1.500285,1.892095,1.415323,1.766153,1.468301,1.822131,1.556255,2.038022,1.445307,1.781149,1.356356,2.029027,1.293384,1.73417,1.412327,1.52127,1.579242,1.837123,1.493286,1.528269,1.380575,1.481292,1.403329,1.765154,1.501142,1.501282,1.34888,1.482293,1.361463,1.821131,1.509277,1.765156,1.156447,1.815131,1.461301,1.789145,1.461302,1.701185,1.548258,1.40133,1.433222,1.573246,1.434314,1.203426,1.2604,1.790894,1.039501,1.692192,1.44331,1.557254,1.502284,1.94907,1.845115,1.78815,2.155969,1.708183,1.533267,1.76427,1.299379,1.749168,1.499281,1.820129,1.411325,1.680192
1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9,9,10,10,11,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,15,15,15,15,16,16,17,17,17,17,17,17,18,18,19,19,19,19,19,19,20,20,21,21,22,22,22,22,22,22,23,23,24,24,24,24,24,24,25,25,26,26,27,27,27,27,27,27,28,28,28,28,29,29,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,37,37,38,38,38,38,39,39,39,39,40,40,41,41,42,42,43,43,44,44,44,44,44,44,45,45,46,46,47,47,48,48,48,48,49,49,50,50,51,51,52,52,53,53,54,54,54,54,54,54,55,55,56,56,57,57,58,58,59,59,59,59,60,60,61,61,62,62,63,63,64,64,65,65,65,65,66,66,66,66,66,66,66,66,1,1,2,2,3,3,4,4,4,4,5,5,6,6,7,7,8,8,8,8,8,8,9,9,10,10,11,11,12,12,13,13,13,13,14,14,15,15,16,16,17,17,17,17,18,18,19,19,20,20,21,21,22,22,23,23,23,23,24,24,25,25,25,25,26,26,27,27,27,27,28,28,29,29,29,29,30,30,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,40,40,41,41,42,42,43,43,44,44,44,44,44,44,45,45,46,46,47,47,47,47,48,48,49,49,49,49,50,50,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,59,59,60,60,60,60,60,60,61,61,61,61,61,61,62,62,63,63,64,64,65,65,66,66,66,66,67,67,68,68,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,76,76
0,1,1,2,2,2,2,3,3,4,4,4,4,5,5,6,6,7,7,7,7,8,8,9,9,10,10,10,10,11,11,11,11,12,12,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,18,18,19,19,19,19,19,19,20,20,21,21,22,22,23,23,24,24,24,24,24,24,25,25,26,26,27,27,28,28,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34,34,35,35,36,36,36,36,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,43,43,43,43,44,44,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,73,73,74,74,75,75,75,0,1,1,2,2,3,3,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20,20,20,20,21,21,21,21,22,22,22,22,23,23,24,24,25,25,25,25,25,25,25,25,26,26,27,27,28,28,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,68,68,69,69,70,70,70,70,70,70,71,71,71,71,72,72,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79
