300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,32,33,33,34,35,35,36,36,36,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,97,98,98,99,99,100,100,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,28,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,38,39,39,40,40,41,41,42,42,43,43,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,54,55,55,56,56,57,58,58,59,59,60,60,60,61,62,62,63,63,64,64,64,65,66,66,67,67,67,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,78,79,79,80,81,81,82,82,82,83,83,84,85,85,86,86,86,87,87,88,89,89,90,90,91,91,92,92,93,93,93,94,94,95,95,96,96,97,98,98,98,99,100,100
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
3,1,2,3,3,1,2,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,2,1,3,1,2,2,3,1,3,1,2,1,3,1,3,1,2,2,3,1,2,2,3,1,2,2,3,1,3,1,3,1,2,1,3,1,3,1,2,1,3,1,2,1,3,2,2,1,3,1,3,1,2,1,2,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,2,1,3,1,2,3,2,2,3,1,3,1,3,1,2,1,3,1,3,1,3,1,2,1,2,1,2,1,3,1,3,1,2,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,2,1,2,1,2,1,3,1,3,1,3,1,2,1,2,1,2,1,3,1,3,1,3,1,3,1,2,1,2,1,2,1,2,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,2,3,1,3,1,2,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,2,1,2,1,2,1,3,1
90,90,60,30,90,90,60,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,60,90,90,90,60,60,90,90,90,90,60,90,90,90,90,90,60,60,90,90,60,60,90,90,60,60,90,90,90,90,90,90,60,90,90,90,90,90,60,90,90,90,60,90,90,60,60,90,90,90,90,90,60,90,60,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,60,90,90,90,60,30,60,60,90,90,90,90,90,90,60,90,90,90,90,90,90,90,60,90,60,90,60,90,90,90,90,90,60,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,60,90,60,90,60,90,90,90,90,90,90,90,60,90,60,90,60,90,90,90,90,90,90,90,90,90,60,90,60,90,60,90,60,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,60,90,90,90,90,60,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,60,90,60,90,90,90
1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
55.98422,3.194472,4.135023,3.648254,3.519316,2.442831,3.996089,3.106513,3.403371,2.587763,2.772674,2.227934,2.754681,2.606753,2.723696,2.458824,2.629743,1.878103,2.571769,2.122985,2.530789,2.003042,2.227934,2.256921,2.531789,2.179956,2.437834,2.126983,2.474816,2.075008,2.410847,1.932243,2.434834,2.139977,2.262918,1.788145,2.427839,1.764157,2.023032,2.310894,2.039025,1.892094,2.426839,2.044022,2.323888,2.05002,2.32389,2.158967,1.704185,1.810134,2.036026,2.019034,2.515797,1.85811,2.40385,2.96758,2.353874,2.047021,2.40485,1.796141,2.411847,2.290904,1.940078,1.865108,1.795141,1.86011,1.92208,2.270914,2.814654,1.762157,2.25692,1.981053,1.752161,1.539264,2.091,1.598235,2.302001,1.455304,2.421842,1.763156,2.578766,1.554256,2.06901,1.549258,2.442832,1.585242,2.305897,1.900093,2.434834,1.868111,2.394854,1.746164,2.28291,1.792141,2.211942,1.665205,2.538787,2.107991,1.831124,1.563251,1.895093,1.515275,2.203946,1.54726,2.226936,1.651209,2.289905,1.551259,2.379861,2.02703,2.283907,1.698188,2.690714,1.659373,2.267915,1.446309,2.378862,1.427317,2.667725,1.611229,2.13998,1.876102,2.514796,1.727174,2.170962,1.539263,2.322889,1.795146,2.267915,1.595237,2.052018,1.571249,2.154969,1.563253,2.276911,1.539264,2.442831,1.571249,2.15597,1.556254,2.010039,1.426318,2.450828,1.498283,2.234931,1.574247,2.355873,1.551258,2.427839,1.539264,2.268914,1.747164,1.940072,1.71418,2.123984,1.565252,2.082004,1.660206,1.678197,2.275912,2.059015,2.227935,2.043023,1.731156,2.146972,2.131981,2.091,1.954065,2.437835,2.099996,2.253921,2.110991,2.120986,1.998075,2.636739,1.778149,2.316891,1.947069,2.25792,1.757159,2.202946,1.915085,2.25892,2.003042,2.420842,1.914085,2.378862,1.884099,1.98605,1.850977,2.449828,1.732172,2.049019,1.819129,2.403851,2.020035,2.177959,1.868107,2.170961,1.94507,2.321889,2.218938,2.445831,2.123984,2.372865,2.173961,2.203947,1.926078,2.044023,2.078007,2.293903,1.998044,2.228934,1.958064,2.062014,2.276911,2.188953,2.101994,2.3009,2.092999,2.123985,1.960062,2.300899,2.108991,1.919082,2.116988,2.445831,2.092998,1.80614,2.700708,2.093998,2.086002,1.916083,2.100994,2.27791,2.061014,2.085002,1.878102,2.253922,1.893095,2.108991,1.934075,2.34088,1.927079,2.139977,1.56725,2.021034,1.774152,2.171962,1.916083,2.348877,2.03003,2.115988,1.937036,2.104994,2.733693,1.804137,1.799139,2.156969,2.085003,2.314893,1.919082,2.266915,2.057016,2.180957,2.006041,2.225935,1.96606,1.719178,1.981053,2.157968,1.999045,2.004041,1.997045,2.053018,1.910086,1.908088,1.956064,1.725175,1.837121,1.813133,1.596239,1.58824,1.573246,1.917083,1.940072,1.845117,1.979053,2.157967,1.925079,1.69519,1.724175,2.021033,1.973056,2.037025,1.956065,2.053018,1.989049,2.100995,1.765156,2.02803,1.688192,2.060015,1.830125,1.997045,2.157967,1.980053,1.853114,1.741167,2.053018,1.852117,1.854115,1.933074,1.879101,2.099995,1.983052,2.15497,1.96506,1.726173,1.910087,1.814135,1.65321,2.109992,1.572248,2.04802,1.606232,2.062015,1.583242,1.873105,1.79714,1.947079,1.637217,2.180955,1.725176,1.917083,1.900091,2.197948,1.591239,2.188953,1.789144,2.149972,1.65321,2.004041,1.742166,1.996046,1.86111,2.237929,2.020035,2.228934,1.789144,2.124984,1.602234,1.967059,1.701185,1.566251,1.603233,1.744165,1.694189,1.828126,1.692174,1.94807,1.733171,2.020031,1.71618,1.870106,1.513276,1.734171,1.605232,2.275909,1.916083,1.655209,1.790144,1.909087,1.845117,1.822128,1.63022,2.155968,1.767155,1.625222,1.627222,2.104995,1.626222,2.034028,1.877103,1.847116,1.750164,1.933075,1.748165,1.829125,1.621224,1.836122,1.58924,1.852114,1.391335,2.213941,1.453304,1.917083,1.493286,2.338881,1.597237
1,1,1,1,2,2,2,2,3,3,4,4,4,4,5,5,5,5,6,6,7,7,8,8,9,9,9,9,10,10,11,11,12,12,13,13,14,14,14,14,15,15,16,16,17,17,17,17,18,18,19,19,20,20,20,20,21,21,22,22,23,23,24,24,25,25,25,25,26,26,27,27,28,28,28,28,28,28,29,29,30,30,31,31,31,31,32,32,33,33,34,34,34,34,35,35,36,36,37,37,38,38,39,39,40,40,40,40,41,41,42,42,43,43,43,43,44,44,45,45,46,46,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,56,56,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,67,67,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,79,79,1,1,2,2,3,3,4,4,5,5,5,5,6,6,7,7,8,8,9,9,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,19,19,19,19,20,20,21,21,22,22,23,23,23,23,23,23,24,24,25,25,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,36,36,36,36,37,37,38,38,39,39,40,40,41,41,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,50,50,50,50,50,50,50,50,51,51,52,52,53,53,54,54,54,54,55,55,56,56,57,57,58,58,59,59,60,60,60,60,61,61,61,61,62,62,63,63,64,64,65,65,65,65,66,66,67,67,68,68,69,69,70,70,71,71,71,71,71,71,72,72,73,73,74,74,75,75,76,76,76,76,76,76,76,76,77,77
0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10,10,11,11,12,12,13,13,13,13,14,14,14,14,14,14,15,15,16,16,17,17,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,40,40,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,68,68,69,69,70,70,71,71,72,72,73,73,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11,11,12,12,12,12,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,77,77,78,78,79,79,80,80,80,80,81,81,82,82,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,89
