300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
34,34,34,35,35,36,37,37,37,38,38,39,40,40,40,41,42,42,43,43,43,44,44,45,46,46,46,47,48,48,48,49,50,50,50,51,52,52,53,53,54,54,55,55,55,56,56,57,57,58,59,59,59,60,61,61,62,62,63,63,63,64,64,65,65,66,67,67,67,68,69,69,70,70,71,71,71,72,73,73,73,74,75,75,75,76,77,77,77,78,79,79,80,80,80,81,81,82,82,83,83,84,85,85,86,86,87,87,88,88,88,89,89,90,91,91,91,92,92,93,94,94,95,95,95,96,96,97,97,98,98,99,99,100,1,1,2,2,3,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,16,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,24,24,24,25,25,26,26,27,27,28,29,29,29,30,30,31,31,32,32,33,33,34,35,35,35,36,36,37,37,38,39,39,40,40,41,41,42,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,61,61,61,62,63,63,63,64,65,65,66,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,83,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,98,98,98,99,99,100
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
3,3,3,2,2,2,1,1,1,1,1,1,3,1,1,1,2,1,2,3,3,1,1,1,2,3,3,1,2,1,1,1,2,3,3,1,1,1,1,3,3,1,1,2,2,1,1,3,3,1,2,2,2,1,1,2,3,1,1,2,2,1,1,2,2,1,3,1,1,2,1,1,1,1,1,3,3,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,3,3,3,3,1,1,2,2,1,2,3,1,3,1,3,1,3,1,3,1,2,2,3,1,3,3,2,1,1,2,3,1,3,1,3,1,3,1,3,1,3,1,1,2,1,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,1,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,3,1,3,1,2,1,3,1,3,1,2,1,3,1,3,1,2,1,3,1,2,1,3,1,2,1,1,1,2,1,1,1,2,1,1,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
30,90,30,60,60,60,90,30,90,30,90,30,30,30,90,30,60,30,60,90,30,30,90,30,60,90,30,30,60,30,90,30,60,90,30,30,90,30,90,90,30,30,90,60,60,30,90,90,30,30,60,60,60,30,90,60,30,30,90,60,60,30,90,60,60,30,30,30,90,60,90,30,90,30,90,90,30,30,90,60,60,30,60,60,90,60,90,30,90,60,90,30,90,90,30,90,30,30,90,60,60,30,60,90,90,90,90,90,90,90,90,90,90,60,60,90,90,90,30,60,90,30,60,90,90,90,90,90,90,90,90,90,90,90,90,30,60,30,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,30,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,60,90,90,90,90,90,60,90,90,90,90,90,60,90,90,90,60,90,90,90,60,90,30,90,60,90,30,90,60,90,30,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.7701535,2.4428334,1.8761094,1.7021868,1.8681083,1.9330781,1.6931908,1.9000919,1.9160845,1.699187,1.9230802,1.9230444,1.7271726,1.623225,1.9000876,1.9390697,1.7901456,2.1399777,2.0930061,2.1751614,1.7701533,1.7031894,1.6362166,2.020035,1.9270766,2.1079903,1.7231746,1.6152258,1.8311245,1.5502603,1.5411654,1.8601108,1.5492594,1.5602515,1.7461653,1.5342679,1.8790994,1.7081833,1.8151197,1.7861435,2.0530171,1.5622528,1.7621562,1.9310648,1.7562699,1.9880488,1.858191,2.0590136,1.6846607,1.6542089,1.8241305,1.5672507,1.6042345,1.8671081,1.9720559,1.9710555,1.7771513,1.4063292,1.6961887,1.7091818,1.4363127,1.5342636,1.3873379,1.971056,1.6522093,1.4463081,2.0740068,1.5182712,1.4662974,1.6342199,1.6692042,1.8840981,1.6572077,1.7771502,1.6652055,1.8586578,1.5312731,2.679719,1.7121811,1.5182762,1.5872395,2.0760088,1.6642044,2.1549695,1.7631581,1.8191321,1.5682507,1.9790521,1.5232728,2.004041,2.6717207,1.8431182,2.0760112,1.5272672,1.7231779,2.1059916,1.5612512,1.5212729,1.69082,1.8121336,1.7071846,2.5108016,1.7271733,1.8517458,1.9490695,1.8581128,1.9810534,1.7161784,2.0270302,1.5872436,1.5942342,1.8840952,1.5792463,1.8641064,1.6782811,1.8676839,1.6921928,1.5672481,1.5302656,1.6951859,1.9868226,1.7717032,1.5672495,1.6921954,1.8191314,2.1071832,1.8681064,1.8511143,1.756161,2.0590138,1.6758115,1.8980932,1.7881465,1.6032333,1.7621572,1.9649661,1.5582027,1.8281255,1.7831483,1.8041353,1.8617642,1.6292212,1.4273186,1.7331715,1.6522136,1.6781983,1.6372182,1.7171788,1.8211269,1.7961421,1.6462126,1.6851938,1.724174,1.9340761,1.652107,1.9470708,1.7811501,1.9090886,1.7721522,1.9330745,1.8691068,1.9170861,1.5412631,1.8541138,1.9410732,1.5322659,1.5892375,1.6518025,1.59743,1.7971437,1.5812421,1.7811482,1.5332689,1.71718,1.8611085,1.7661536,1.6532121,1.4533069,1.6381419,1.6542096,1.8131332,1.8531132,1.6702011,1.8601105,1.8697658,1.8841012,1.581243,1.8850965,1.5892401,1.8131332,1.5182736,1.909641,1.3903356,1.6532094,1.7094424,2.0380254,1.558152,2.061013,1.7731509,1.917083,1.7081821,1.7811477,1.5352666,1.5968013,1.4543047,1.8531127,1.6931911,1.7891455,1.7407296,1.5812426,1.4942868,1.6632028,1.4852896,1.8681064,1.8151329,1.8601108,1.6871953,2.0530171,1.6052332,2.1249897,1.8930953,1.4042354,1.8511143,1.7987068,1.8131325,1.9170833,1.8933189,1.735172,1.9086561,1.6452143,1.8701031,2.0525346,1.5180204,1.9080884,1.8294241,1.5972357,1.7011883,1.6612043,1.4153235,1.7800415,1.8781011,1.8850918,1.6372175,1.8768396,1.6761966,1.710181,1.434314,1.8291261,1.7011931,1.8371217,1.6122272,1.7651577,1.4852898,1.7891445,1.5982327,1.6202261,1.8531129,1.6052334,1.5262702,1.932689,1.5982366,2.1469738,1.5802453,1.9740558,1.577245,1.8731046,1.7661562,1.5012798,1.3753417,1.6512122,1.4714692,1.9460726,1.7021861,2.0080395,1.7653005,1.9390705,1.3673458,1.7081821,1.9000974,1.3593497,1.6369009,1.5152757,1.6362176,1.4822924,1.4473081,1.5392644,1.6412144,1.6961894,1.8041379,1.7871459,1.8441179,1.4842901,1.4293168,1.5312681,1.6282213,1.6042328,1.8851016,1.6831965,1.6302202,1.8031392,1.6146052,1.6821964,1.6457584,1.675199,1.8731656,1.6292231,1.6462131,1.5232751,1.604234,1.4443088,1.8191297,1.8181307,1.6761978,1.6980178,1.7468643,1.6108537,1.6907995,1.7321723,1.7864475,1.5222723,1.7791474,1.4742925,1.7864974,2.5317893,1.6282203,1.6432133,1.8110359,1.7313373,2.0420218,1.7311707,1.9060874,1.5722477,1.6257691,1.9300773
20,20,20,20,21,21,22,22,23,23,24,24,24,24,25,25,26,26,26,26,26,26,27,27,28,28,28,28,28,28,29,29,29,29,29,29,30,30,31,31,31,31,32,32,33,33,34,34,34,34,34,34,35,35,36,36,36,36,37,37,37,37,38,38,38,38,38,38,39,39,40,40,41,41,42,42,42,42,42,42,43,43,44,44,45,45,46,46,47,47,48,48,48,48,49,49,49,49,50,50,50,50,51,51,52,52,53,53,54,54,55,55,55,55,56,56,56,56,56,56,57,57,57,57,58,58,59,59,60,60,61,61,62,62,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,58,58,59,59,60,60,61,61,62,62,63,63,64,64,64,64,65,65,66,66,67,67,68,68,69,69,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96
21,22,22,23,23,23,23,24,24,25,25,25,25,26,26,26,26,26,26,27,27,28,28,28,28,29,29,29,29,30,30,30,30,31,31,31,31,31,31,32,32,32,32,33,33,34,34,35,35,35,35,36,36,37,37,37,37,37,37,38,38,39,39,40,40,40,40,41,41,41,41,41,41,41,41,42,42,42,42,43,43,43,43,44,44,44,44,45,45,45,45,46,46,47,47,48,48,49,49,50,50,50,50,51,51,52,52,53,53,54,54,55,55,55,55,56,56,57,57,58,58,58,58,59,59,60,60,61,61,62,62,63,63,64,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20,20,21,21,22,22,23,23,24,24,24,24,25,25,26,26,27,27,28,28,29,29,29,29,30,30,31,31,32,32,32,32,32,32,32,32,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,42,42,43,43,44,44,45,45,45,45,46,46,47,47,48,48,48,48,49,49,49,49,50,50,50,50,50,50,51,51,51,51,51,51,52,52,53,53,53,53,54,54,55,55,56,56,56,56,57,57,58,58,59,59,60,60,61,61,62,62,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80
