SessionNum,m01,,,,,,,
SessionDate,Not on file,,,,,,,
Player1ID,m01a,,,,,,,
Player2ID,m01b,,,,,,,
TesterName,Not on file,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,m01b,,,,,,,
LSLFileName,m01.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time ,Comment1,Comment2
1,1,1,3,,1,00:46.211,,
1,2,2,3,,1,00:50.969,,
1,3,1,1,,1,00:54.857,,
1,4,2,2,,1,00:59.649,,
1,5,1,1,,0,01:04.105,,
1,6,2,3,,1,01:08.562,,
1,7,1,2,,1,01:11.947,,
1,8,2,1,,0,01:18.582,,2 Tou
1,9,1,2,,1,01:23.273,,
1,10,2,3,,1,01:27.194,01:28.367,
1,11,1,1,,1,01:30.579,,
1,12,2,2,,0,01:35.002,,
1,13,1,1,,1,01:41.402,,2 Tou
1,14,2,2,,0,01:45.156,,
1,15,1,3,,1,01:48.909,,
1,16,2,3,,1,01:53.131,,
1,17,1,2,,1,01:56.717,,
1,18,2,1,,0,02:00.738,,
1,19,1,2,,1,02:04.592,,
1,20,2,3,,1,02:08.378,02:09.585,
1,21,1,1,,1,02:12.802,,
1,22,2,3,,0,02:16.789,,
1,23,1,3,,0,02:20.174,,
1,24,2,2,,0,02:24.966,,
1,25,1,2,,1,02:28.216,,
1,26,2,3,,1,02:32.874,,
1,27,1,1,,1,02:37.063,,
1,28,2,1,,1,02:40.850,,
1,29,1,3,,1,02:44.167,,
1,30,2,1,,1,02:48.423,02:49.630,
1,31,1,3,,1,02:53.148,,
1,32,2,3,,1,02:57.136,,
1,33,1,1,,1,03:00.621,,
1,34,2,1,,0,03:04.240,,
1,35,1,2,,1,03:08.630,,
1,36,2,3,,1,03:12.517,,
1,37,1,2,,0,03:16.639,,
1,38,2,1,,0,03:21.062,,
1,39,1,1,,1,03:24.581,,
1,40,2,3,,1,03:28.502,03:29.708,
1,41,1,3,,0,03:32.892,,
1,42,2,1,,0,03:36.846,,
1,43,1,3,,0,03:40.498,,
1,44,2,1,,0,03:44.486,,
1,45,1,2,,1,03:47.301,,
1,46,2,3,,1,03:50.585,,
1,47,1,3,,0,03:53.601,,
1,48,2,1,,0,03:57.656,,
1,49,1,2,,0,04:00.538,,
1,50,2,2,,1,04:04.894,04:06.134,
1,51,1,1,,1,04:07.977,,
1,52,2,3,,1,04:11.395,,
1,53,1,3,,1,04:14.411,,
1,54,2,3,,1,04:17.661,,
1,55,1,1,,1,04:21.080,,
1,56,2,2,,0,04:25.034,,
1,57,1,2,,1,04:29.725,,
1,58,2,3,,1,04:33.679,,
1,59,1,1,,1,04:38.605,,
1,60,2,1,,1,04:41.722,04:42.895,
1,61,1,3,,0,04:44.570,,
1,62,2,1,,0,04:47.988,,
1,63,1,2,,1,04:50.937,,
1,64,2,2,,0,04:55.964,,
1,65,1,3,,0,04:59.918,,
1,66,2,1,,0,05:03.202,,
1,67,1,1,,1,05:06.654,,
1,68,2,3,,1,05:09.603,,
1,69,1,2,,1,05:12.719,,
1,70,2,2,,1,05:16.070,05:17.310,
1,71,1,3,,0,05:19.153,,
1,72,2,2,,1,05:21.834,,
1,73,1,3,,1,05:24.850,,
1,74,2,1,,0,05:28.704,,
1,75,1,1,,1,05:34.032,,
1,76,2,3,,1,05:37.986,,
1,77,1,2,,1,05:41.169,,
1,78,2,2,,1,05:44.654,,
1,79,1,3,,0,05:47.369,,
1,80,2,2,,1,05:50.184,05:51.424,
1,81,1,1,,0,05:53.099,,
1,82,2,2,,0,05:55.847,,
1,83,1,2,,0,05:58.762,,
1,84,2,3,,1,06:03.186,,
1,85,1,1,,1,06:08.614,,
1,86,2,3,,1,06:11.731,,
1,87,1,3,,0,06:14.747,,
1,88,2,2,,0,06:17.562,,
1,89,1,2,,0,06:20.444,,
1,90,2,1,,0,06:23.929,06:25.135,
1,91,1,2,,1,06:29.156,,
1,92,2,3,,1,06:32.641,,
