SessionNum,m03,,,,,,,
SessionDate,2019_10_18,,,,,,,
Player1ID,did not find session info in the google doc,,,,,,,
Player2ID,,,,,,,,
TesterName,,,,,,,,
CoderName,Kexin Quan,,,,,,,
VideoFileName,m03b,,,,,,,
LSLFileName,m03.xdf,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,1,1,1,,1,02:00.906,,
1,2,2,3,,1,02:04.659,,
1,3,1,3,,0,02:07.641,,
1,4,2,2,,0,02:10.657,,
1,5,1,2,,1,02:13.639,,
1,6,2,1,,1,02:16.253,,
1,7,1,3,,0,02:19.068,,
1,8,2,3,,0,02:21.883,,2Tou
1,9,1,3,,1,02:24.805,,
1,10,2,3,,1,02:27.781,02:28.954,
1,11,1,3,,1,02:30.663,,
1,12,2,2,,1,02:33.612,,
1,13,1,3,,0,02:36.829,,
1,14,2,1,,1,02:39.644,,
1,15,1,2,,1,02:42.995,,
1,16,2,1,,0,02:45.910,,
1,17,1,3,,0,02:48.926,,
1,18,2,2,,0,02:52.746,,2Tou(the 2nd touch @ 02:53.986)
1,19,1,1,,0,02:57.237,,
1,20,2,1,,1,02:59.984,03:01.124,2Tou(the 2nd touch @ 03:01.090)
1,21,1,3,,1,03:03.302,,
1,22,2,3,,0,03:06.217,,
1,23,1,2,,1,03:09.367,,
1,24,2,2,,0,03:12.249,,
1,25,1,3,,1,03:15.198,,
1,26,2,1,,1,03:17.812,,2Tou(the 2nd touch @ 03:18.717)
1,27,1,3,,1,03:20.895,,
1,28,2,2,,1,03:24.212,,
1,29,1,3,,0,03:27.429,,
1,30,2,1,,0,03:30.948,03:32.054,
1,31,1,2,,1,03:33.729,,
1,32,2,2,,1,03:36.645,,
1,33,1,3,,0,03:39.627,,
1,34,2,1,,1,03:42.576,,
1,35,1,2,,1,03:45.357,,
1,36,2,1,,1,03:48.273,,2Tou(the 2nd touch @ 03:49.245)
1,37,1,2,,1,03:51.222,,
1,38,2,2,,0,03:54.372,,
1,39,1,1,,1,03:57.254,,
1,40,2,3,,1,04:00.437,04:01.610,
1,41,1,3,,1,04:03.353,,
1,42,2,2,,0,04:06.603,,
1,43,1,1,,1,04:09.753,,
1,44,2,1,,1,04:12.903,,2Tou
1,45,1,2,,1,04:15.952,,
1,46,2,3,,1,04:19.572,,2Tou
1,47,1,3,,0,04:22.420,,
1,48,2,1,,1,04:25.335,,2Tou
1,49,1,2,,1,04:28.586,,
1,50,2,2,,0,04:32.306,04:33.411,
1,51,1,3,,0,04:35.254,,
1,52,2,3,,1,04:37.768,,2Tou
1,53,1,1,,0,04:44.135,,
1,54,2,1,,1,04:47.084,,2Tou
1,55,1,3,,0,04:49.965,,
1,56,2,3,,0,04:52.847,,
1,57,1,2,,1,04:55.729,,
1,58,2,2,,0,04:58.511,,
1,59,1,3,,0,05:01.191,,
1,60,2,1,,1,05:04.073,05:05.213,2Tou
1,61,1,3,,1,05:06.922,,
1,62,2,3,,0,05:09.904,,
1,63,1,2,,1,05:12.719,,
1,64,2,2,,1,05:15.735,,
1,65,1,3,,0,05:18.684,,
1,66,2,1,,1,05:22.102,,
1,67,1,2,,1,05:25.084,,
1,68,2,1,,1,05:27.866,,
1,69,1,1,,0,05:30.748,,
1,70,2,2,,1,05:33.898,05:35.070,
1,71,1,3,,1,05:36.780,,
1,72,2,3,,0,05:39.494,,
1,73,1,2,,1,05:42.342,,
1,74,2,3,,1,05:45.057,,
1,75,1,2,,1,05:47.938,,
1,76,2,1,,1,05:51.055,,
1,77,1,1,,1,05:54.104,,
1,78,2,2,,0,05:57.087,,
1,79,1,3,,1,05:59.902,,
1,80,2,1,,1,06:02.784,06:03.889,
1,81,1,3,,0,06:05.565,,
1,82,2,1,,1,06:08.313,,
1,83,1,2,,0,06:11.061,,
1,84,2,2,,0,06:13.976,,
1,85,1,1,,0,06:16.992,,
1,86,2,2,,0,06:19.472,,
1,87,1,3,,1,06:22.220,,
1,88,2,2,,0,06:25.336,,
1,89,1,3,,1,06:28.251,,
1,90,2,1,,1,06:30.999,06:32.172,
1,91,1,1,,1,06:34.149,,
1,92,2,3,,1,06:37.132,,
1,93,1,2,,1,06:39.947,,
1,94,2,1,,1,06:42.761,,
1,95,1,2,,1,06:45.677,,
1,96,2,1,,1,06:48.190,,
1,97,1,1,,1,06:50.938,,
1,98,2,3,,1,06:53.585,,
1,99,1,2,,1,06:56.635,,
1,100,2,1,,1,06:59.416,07:00.623,
1,101,1,3,,1,07:02.231,,
1,102,2,2,,0,07:05.213,,
1,103,1,3,,0,07:08.928,,
1,104,2,2,,1,07:11.044,,
1,105,1,3,,0,07:13.826,,
1,106,2,2,,0,07:16.607,,
1,107,1,3,,0,07:19.254,,
1,108,2,3,,0,07:22.270,,
1,109,1,1,,1,07:25.286,,
1,110,2,2,,0,07:28.101,07:29.307,
1,111,1,1,,0,07:31.050,,
1,112,2,1,,1,07:33.664,,
1,113,1,1,,0,07:36.646,,
1,114,2,3,,1,07:39.629,,
1,115,1,1,,0,07:42.511,,
1,116,2,1,,1,07:45.158,,
1,117,1,1,,0,07:48.107,,
1,118,2,2,,1,07:50.788,,
1,119,1,2,,1,07:53.368,,
1,120,2,3,,1,07:56.250,07:57.490,
1,121,1,2,,1,07:59.031,,
1,122,2,1,,1,08:01.712,,
1,123,1,3,,0,08:04.426,,
1,124,2,2,,0,08:06.873,,
1,125,1,3,,1,08:09.587,,
1,126,2,3,,0,08:12.536,,
1,127,1,2,,1,08:15.351,,
1,128,2,1,,1,08:15.534,,
1,129,1,3,,1,08:21.249,,
1,130,2,1,,1,08:24.231,08:25.370,
1,131,1,1,,1,08:27.146,,
1,132,2,2,,0,08:29.928,,
1,133,1,3,,0,08:32.944,,
1,134,2,3,,0,08:35.826,,
1,135,1,2,,0,08:38.707,,
1,136,2,1,,1,08:41.321,,
1,137,1,1,,0,08:44.203,,
1,138,2,2,,1,08:47.085,,
1,139,1,3,,1,08:49.833,,
1,140,2,2,,1,08:52.480,08:53.687,
1,141,1,3,,1,08:55.329,,
1,142,2,2,,0,08:57.775,,
1,143,1,2,,1,09:00.757,,
1,144,2,1,,1,09:03.405,,
1,145,1,3,,1,09:06.018,,
1,146,2,1,,1,09:08.405,,
1,147,1,2,,1,09:11.347,,
1,148,2,3,,1,09:13.927,,
1,149,1,1,,0,09:16.842,,
1,150,2,1,,1,09:19.624,09:20.864,
1,151,1,3,,1,09:22.338,,
1,152,2,2,,0,09:25.387,,
1,153,1,2,,1,09:28.269,,
1,154,2,2,,1,09:30.749,,
1,155,1,2,,1,09:33.698,,
1,156,2,1,,1,09:36.446,,
1,157,1,3,,0,09:39.127,,
