SessionNum,m07,,,,,,,
SessionDate,02/24/2020,,,,,,,
Player1ID,m07a,,,,,,,
Player2ID,m07b,,,,,,,
TesterName,Jia-hui,,,,,,,
CoderName,Aihang,,,,,,,
VideoFileName,m07b/000,,,,,,,
LSLFileName,N/A,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time ,Comment1,Comment2
1,1,1,3,,1,02:19.000,,
1,2,2,2,,0,02:23.559,,
1,3,1,3,,0,02:27.323,,
1,4,2,1,,1,02:32.334,,
1,5,1,3,,0,02:35.937,,
1,6,2,3,,0,02:41.680,,
1,7,1,2,,1,02:45.060,,
1,8,2,2,,0,02:49.880,,
1,9,1,1,,1,02:53.432,,
1,10,2,3,,0,02:57.104,02:58.269,
1,11,1,1,,1,03:00.926,,
1,12,2,2,,1,03:04.960,,
1,13,1,2,,1,03:08.571,,
1,14,2,3,,0,03:13.771,,
1,15,1,1,,1,03:17.131,,
1,16,2,3,,0,03:22.020,,
1,17,1,3,,0,03:25.288,,
1,18,2,3,,1,03:28.728,,
1,19,1,2,,0,03:31.927,,
1,20,2,1,,1,03:37.431,03:38.599,
1,21,1,1,,1,03:41.910,,
1,22,2,3,,0,03:46.900,,
1,23,1,1,,1,03:50.117,,
1,24,2,2,,1,03:54.978,,
1,25,1,2,,1,03:58.571,,
1,26,2,3,,0,04:03.611,,
1,27,1,2,,1,04:06.820,,
1,28,2,3,,1,04:12.294,,
1,29,1,3,,0,04:15.824,,
1,30,2,2,,1,04:20.906,04:22.084,
1,31,1,2,,1,04:25.082,,
1,32,2,2,,1,04:28.715,,
1,33,1,2,,0,04:31.875,,
1,34,2,1,,1,04:38.718,,
1,35,1,1,,1,04:41.807,,
1,36,2,2,,1,04:48.248,,
1,37,1,3,,1,04:51.891,,
1,38,2,1,,1,04:56.641,,
1,39,1,1,,1,04:59.790,,
1,40,2,2,,0,05:04.188,05:05.386,
1,41,1,3,,0,05:08.093,,
1,42,2,1,,1,05:13.034,,
1,43,1,1,,1,05:19.424,,
1,44,2,3,,0,05:23.196,,
1,45,1,1,,0,05:26.534,,
1,46,2,3,,0,05:31.675,,
1,47,1,2,,0,05:34.790,,
1,48,2,2,,1,05:38.039,,
1,49,1,3,,0,05:40.897,,
1,50,2,2,,1,05:43.896,05:45.103,
1,51,1,2,,1,05:47.035,,
1,52,2,2,,0,05:49.893,,
1,53,1,1,,1,05:52.812,,
1,54,2,1,,1,05:56.163,,
1,55,1,1,,1,06:00.138,,
1,56,2,3,,0,06:04.696,,
1,57,1,2,,0,06:08.266,,
1,58,2,1,,0,06:11.497,,
1,59,1,3,,0,06:14.485,,
1,60,2,1,,1,06:17.756,06:18.943,
1,61,1,1,,1,06:20.705,,
