300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,2,2,3,1,2,3,2,1,3,3,1,3,2,1,2,3,2,1,3,2,1,3,2,1,1,2,3,1,2,3,1,2,3,1,2,3,1,2,2,1,3,1,1,2,3,1,2,3,1,2,3,1,1,3,2,3,1,2,2,3,3,1,3,2,1,3,2,2,1,3,1,2,3,2,1,2,1,3,2,3,1,3,2,2,3,1,2,1,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3,2,1,1,2,2,3,1,3,2,1,1,2,1,1,1,2,1,2,2,3,1,1,2,1,3,3,3,1,1,1,1,1,1,2,1,2,1,2,2,3,1,3,2,1,1,2,1,2,1,1,2,1,3,3,2,3,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,3,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1
60,60,60,90,30,60,60,30,60,60,30,30,90,30,60,60,60,30,60,60,30,90,90,30,60,60,90,90,30,60,60,30,90,90,30,60,60,30,90,90,60,60,30,60,90,90,30,60,60,30,90,90,30,60,90,30,60,30,90,90,60,30,30,60,30,90,90,30,60,90,90,30,90,90,30,90,90,90,90,30,60,30,90,30,60,90,30,60,60,60,60,30,60,90,60,90,60,90,60,60,90,60,90,60,90,60,60,30,60,60,90,90,60,30,90,30,60,60,90,90,90,60,90,90,90,90,60,30,90,60,60,60,30,30,30,60,90,60,90,60,90,90,90,90,90,90,60,30,90,30,60,60,90,90,90,90,90,60,60,60,30,30,60,30,90,60,90,60,90,60,90,90,90,90,60,60,90,90,90,90,90,90,90,90,90,30,90,30,90,90,60,90,60,90,60,90,60,90,60,60,60,30,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,60,90,60,90,90,90,90,90,60,90,90,60,60,30,60,90,60,90,60,90,90,90,90,90,90,90,90,60,60,90,60,90,60,90,90,90,90,90,60,90,60,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,60,60,60,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,60,60,90,60,90,90,90,90,90,90,90,90,60,60,90,60,90,90,90,60,90,90,90,90,90,90,60,60,90,60,90,60,90,90,90,90,90,90,90,60,90,60,90,60,90,90,90,90,90,90,60,60,90
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4303637,4.2169867,9.4005136,8.0451584,4.512846,7.4284544,5.4114161,4.2369738,4.3579206,4.9446416,4.5068474,4.5508275,4.3389301,3.9311235,4.0750566,4.570817,3.4263649,5.5783377,4.2609677,4.2349796,4.1640115,7.3025141,3.6512568,3.4903316,3.8781478,5.3014736,4.2619634,3.7532098,4.1710062,4.0670605,4.1260304,3.3633952,5.0126066,4.5718169,5.563344,3.828172,5.9451618,5.8811941,4.7067528,4.8196993,5.1845269,4.2549696,6.029129,4.014082,3.861156,4.787715,4.2969465,4.0430689,3.3943787,4.4418817,5.5153685,4.5708208,4.3059464,4.5898085,4.8616796,3.5892866,4.0440702,4.8666801,4.005085,4.4258914,5.1565399,3.7132304,4.4508743,3.9891,4.4618711,4.5668192,4.1730099,4.3139415,4.8676777,3.8831491,4.3149409,3.4113722,4.6907606,3.2984259,3.8451655,4.5498257,5.3234549,3.7232256,3.9950902,4.7787161,3.8611574,3.2924275,4.0350761,3.2514467,4.4108934,3.8891416,4.1320276,3.0785315,3.3973765,3.2544408,3.6052783,3.8751495,2.997571,7.6663418,3.7392163,3.9001346,3.0735307,3.6362655,3.0985186,6.459918,4.4448757,4.0330763,3.5003245,3.394376,3.2914274,3.8331738,3.7102282,3.1584914,3.9980927,3.1784828,3.6832433,5.2424984,3.5782933,3.8761499,3.0595412,3.5473077,3.6452599,3.6782453,3.5053267,3.3244123,5.2265053,3.4903328,3.0265555,4.4438753,3.1864798,4.8456879,3.300427,3.6602528,3.2944317,3.2094684,3.3144169,3.1265075,3.2944243,3.5053284,3.9221282,3.2194653,3.6332643,3.2274582,3.0505428,4.0980463,3.3484063,3.3224134,3.3574004,3.3024249,3.507324,3.7252223,3.1774831,3.6612527,3.1015239,5.7472558,5.4204092,3.2374573,3.3933816,4.107039,3.4653454,3.2184656,3.2034733,3.4993298,2.861634,3.6302664,2.8696289,3.2264562,2.9945722,5.0605841,3.3184144,3.6902363,5.2914729,3.2994249,3.0835288,3.4893343,3.5553043,3.6832411,2.9955673,3.4673438,3.5223196,5.3574471,3.6502593,7.2755222,3.0115631,3.3703899,3.0195584,3.5932851,3.8541596,4.3539238,3.1824784,2.9795756,3.2574463,3.4583511,3.1894808,3.1185098,2.8766263,3.1245098,3.0515451,2.8536396,3.1704874,3.7242205,3.260443,3.5872877,3.114511,3.0385518,3.1654873,3.1584945,3.5832889,3.3474021,3.5093255,3.053544,3.2514477,3.1954756,3.214469,2.6347427,3.3074212,3.2844305,3.3963783,3.4363616,3.4783378,3.475342,3.5892847,3.2274592,3.1804817,3.179482,3.5902855,3.2844319,3.5323133,3.3813872,3.279434,3.202476,3.4683461,3.5732934,3.0925221,3.0145617,3.2644427,2.8366461,3.2024713,3.2694395,3.1315069,2.9485927,3.2464499,3.3314092,3.067529,3.3164189,2.8686299,3.1095145,3.4433525,3.3094203,2.9645875,3.6612554,3.716224,3.2374547,3.1484942,3.2594442,3.1564927,3.196475,3.0595415,3.2184651,3.0125599,3.3004255,3.253449,3.3633938,3.3494012,3.4983296,3.3184164,3.1005199,3.9561121,3.237453,3.092519,3.3304131,3.084528,3.2144647,3.2594457,3.1325066,3.2524445,3.2294612,2.7956638,3.6682489,3.6692474,3.0775309,3.131505,3.2844322,3.1175103,3.1165116,3.6442606,3.2424502,3.132503,3.5103245,3.0185614,3.2794333,3.0045657,3.1005208,3.2844322,3.0835288,3.0045669,3.6382637,2.9955721,3.2364569,3.5712934,3.0135627,3.4353619,3.1325049,3.2854302,3.3314109,3.3474033,3.0845282,3.6362665,3.1884761,3.4693429,3.4283612,3.1964705,3.2124648,3.3484013,3.0435448,3.6762457,3.3713844,3.580291,2.964586,3.1804829,3.3164127,3.1734848,3.4433568,2.9306016,3.2204611,3.1794803,3.0995221,3.2994254,3.204469,3.1644983,3.297426,3.4933338,3.0675373,3.1554935,3.4363596,3.1165154,3.2854331,3.1494977,3.1894798,3.1814802,3.0385513,3.2994285,3.1005192,3.1305082,2.948595,3.2194669,3.4213662,2.9955714,3.2284632,3.4103694,3.3883812,3.129508,3.2204623,3.1974735,3.0275555,3.0415497,3.4523501,3.1804817,3.1534948,4.6117983,2.9935727,3.2994242,3.09952,3.3853843,3.3793871,3.4663472,4.1230326,3.1864817,3.083528,3.2824309,3.2114675,3.1075144,3.6502593,2.9965694,3.0185595,2.8096573,3.0665345,3.0195577,3.1135128,2.87063,3.0825307,3.0345519,3.090524,3.1315038,3.0895236,3.1225107,3.2114673,5.5143676,3.1944752,3.1624918,3.3983779,3.1145158
4,5,5,6,6,7,7,7,7,8,8,8,8,9,9,10,10,10,10,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,15,15,16,16,17,17,17,17,17,17,18,18,19,19,20,20,21,21,21,21,21,21,21,21,22,22,23,23,23,23,23,23,23,23,24,24,25,25,25,25,26,26,27,27,27,27,28,28,29,29,30,30,30,30,30,30,30,30,31,31,32,32,33,33,34,34,35,35,36,36,36,36,36,36,37,37,38,38,38,38,38,38,39,39,40,40,41,41,42,42,43,43,43,43,44,44,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,51,51,51,51,52,52,53,53,54,54,54,54,54,54,55,55,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,63,63,63,63,64,64,0,0,1,1,2,2,3,3,4,4,5,5,5,5,5,5,6,6,7,7,8,8,9,9,10,10,10,10,11,11,12,12,12,12,13,13,13,13,14,14,15,15,15,15,16,16,17,17,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,26,26,27,27,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,68,68,69,69,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,79,79,80,80,81,81,82,82,83,83,84,84,85,85
4,4,4,4,5,5,5,5,6,6,6,6,7,7,8,8,9,9,10,10,10,10,11,11,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,18,18,18,18,19,19,20,20,21,21,22,22,22,22,22,22,23,23,24,24,25,25,25,25,25,25,26,26,27,27,28,28,29,29,29,29,30,30,31,31,31,31,32,32,33,33,33,33,34,34,35,35,36,36,37,37,38,38,38,38,39,39,40,40,41,41,41,41,42,42,43,43,44,44,45,45,45,45,46,46,47,47,48,48,48,48,48,48,49,49,49,49,50,50,50,50,51,51,52,52,53,53,54,54,54,54,54,54,55,55,55,55,56,56,57,57,58,58,58,58,58,58,58,58,59,59,60,60,61,61,62,62,63,63,63,63,64,64,65,65,65,65,66,66,67,67,68,0,0,0,1,1,2,2,3,3,4,4,5,5,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17,17,17,17,17,17,18,18,19,19,20,20,21,21,22,22,22,22,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,40,40,40,40,40,40,41,41,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,61,61,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,85,85,85
