SessionNum,s14,,,,,,,
SessionDate,Not in file,,,,,,,
Player1ID,,,,,,,,
Player2ID,,,,,,,,
TesterName,Not in file,,,,,,,
CoderName,Mya Haas,,,,,,,
VideoFileName,2020_02_01/000,,,,,,,
LSLFileName,Not in file,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,Comment1,Comment2
1,1,1,2,,0,8:05.158,,
1,2,2,,,,,,
1,3,1,2,,1,8:11.966,,
1,4,2,,,,,,
1,5,1,2,,1,8:17.495,,
1,6,2,,,,,,
1,7,1,2,,1,8:22.924,,
1,8,2,,,,,,
1,9,1,2,,1,8:28.353,8:29.526,
1,10,2,,,,,,
1,11,1,2,,1,8:33.815,,
1,12,2,,,,,,
1,13,1,2,,1,8:38.942,,
1,14,2,,,,,,
1,15,1,2,,1,8:44.304,,
1,16,2,,,,,,
1,17,1,2,,1,8:49.062,,
1,18,2,,,,,,
1,19,1,2,,1,8:53.988,8:55.128,
1,20,2,,,,,,
1,21,1,2,,1,8:58.981,,
1,22,2,,,,,,
1,23,1,2,,1,9:03.807,,
1,24,2,,,,,,
1,25,1,2,,1,9:08.599,,
1,26,2,,,,,,
1,27,1,2,,1,9:13.223,,
1,28,2,,,,,,
1,29,1,2,,0,9:17.647,9:18.317,
1,30,2,,,,,,
1,31,1,2,,1,9:22.137,,
1,32,2,,,,,,
1,33,1,3,,0,9:27.164,,
1,34,2,,,,,,
1,35,1,2,,1,9:31.084,,
1,36,2,,,,,,
1,37,1,2,,0,9:34.971,,
1,38,2,,,,,,
1,39,1,2,,1,9:39.294,9:40.434,
1,40,2,,,,,,
1,41,1,2,,0,9:43.416,,
1,42,2,,,,,,
1,43,1,2,,1,9:47.739,,
1,44,2,,,,,,
1,45,1,2,,1,9:51.425,,
1,46,2,,,,,,
1,47,1,2,,1,9:55.078,,
1,48,2,,,,,,
1,49,1,2,,1,9:59.099,10:00.238,
1,50,2,,,,,,
1,51,1,2,,1,10:03.154,,
1,52,2,,,,,,
1,53,1,2,,0,10:06.806,,
1,54,2,,,,,,
1,55,1,2,,1,10:11.196,,
1,56,2,,,,,,
1,57,1,2,,1,10:14.715,,
1,58,2,,,,,,
1,59,1,2,,0,10:18.434,10:19.105,
1,60,2,,,,,,
1,61,1,2,,1,10:22.121,,
1,62,2,,,,,,
1,63,1,2,,1,10:25.773,,
1,64,2,,,,,,
1,65,1,3,,0,10:28.823,,
1,66,2,,,,,,
1,67,1,2,,1,10:32.743,,
1,68,2,,,,,,
1,69,1,2,,1,10:36.564,10:37.669,
1,70,2,,,,,,
1,71,1,1,,0,10:39.647,,
1,72,2,,,,,,
1,73,1,2,,1,10:43.601,,
1,74,2,,,,,,
1,75,1,2,,1,10:46.516,,
1,76,2,,,,,,
1,77,1,2,,0,10:50.135,,
1,78,2,,,,,,
1,79,1,2,,1,10:55.296,10:56.435,
1,80,2,,,,,,
1,81,1,2,,1,10:58.714,,
1,82,2,,,,,,
1,83,1,2,,1,11:02.400,,
1,84,2,,,,,,
1,85,1,2,,1,11:05.952,,
1,86,2,,,,,,
1,87,1,2,,1,11:10.711,,
1,88,2,,,,,,
1,89,1,2,,1,11:14.363,11:15.469,
1,90,2,,,,,,
1,91,1,2,,1,11:20.194,,2 Tou
1,92,2,,,,,,
1,93,1,2,,1,11:27.633,,
1,94,2,,,,,,
1,95,1,2,,1,11:32.492,,
1,96,2,,,,,,
1,97,1,2,,1,11:37.318,,
1,98,2,,,,,,
1,99,1,2,,1,11:41.239,11:42.411,
1,100,2,,,,,,
1,101,1,2,,1,11:45.226,,
1,102,2,,,,,,
1,103,1,2,,1,11:49.884,,
1,104,2,,,,,,
1,105,1,2,,1,11:54.040,,
1,106,2,,,,,,
1,107,1,2,,1,11:57.927,,
1,108,2,,,,,,
1,109,1,2,,1,12:02.886,12:04.059,
1,110,2,,,,,,
1,111,1,2,,1,12:06.807,,
1,112,2,,,,,,
1,113,1,2,,1,12:10.694,,
1,114,2,,,,,,
1,115,1,2,,1,12:14.581,,
1,116,2,,,,,,
1,117,1,2,,0,12:18.301,,
1,118,2,,,,,,
1,119,1,2,,0,12:24.065,12:24.836,
1,120,2,,,,,,
1,121,1,2,,1,12:28.287,,
1,122,2,,,,,,
1,123,1,2,,0,12:32.107,,
1,124,2,,,,,,
1,125,1,2,,1,12:35.592,,
1,126,2,,,,,,
1,127,1,2,,1,12:39.044,,
1,128,2,,,,,,
1,129,1,2,,1,12:42.764,12:43.937,
1,130,2,,,,,,
1,131,1,2,,1,12:46.517,,
1,132,2,,,,,,
1,133,1,2,,1,12:50.304,,
1,134,2,,,,,,
1,135,1,2,,1,12:53.655,,
1,136,2,,,,,,
1,137,1,2,,1,12:58.447,,
1,138,2,,,,,,
1,139,1,2,,1,13:02.401,13:03.607,
1,140,2,,,,,,
1,141,1,2,,1,13:06.355,,
1,142,2,,,,,,
1,143,1,2,,0,13:10.544,,
1,144,2,,,,,,
1,145,1,2,,1,13:14.163,,
1,146,2,,,,,,
1,147,1,2,,1,13:17.480,,
1,148,2,,,,,,
1,149,1,2,,1,13:21.066,13:22.272,
1,150,2,,,,,,
1,151,1,2,,1,13:24.685,,
1,152,2,,,,,,
1,153,1,2,,1,13:28.371,,
1,154,2,,,,,,
1,155,1,2,,1,13:31.957,,
1,156,2,,,,,,
1,157,1,2,,1,13:35.576,,
1,158,2,,,,,,
1,159,1,2,,1,13:39.463,13:40.670,
1,160,2,,,,,,
1,161,1,2,,1,13:43.082,,
1,162,2,,,,,,
1,163,1,2,,1,13:46.668,,
1,164,2,,,,,,
1,165,1,2,,1,13:50.555,,
1,166,2,,,,,,
1,167,1,2,,1,13:55.414,,
1,168,2,,,,,,
1,169,1,2,,1,13:59.436,14:00.675,
1,170,2,,,,,,
1,171,1,2,,1,14:02.787,,
1,172,2,,,,,,
1,173,1,2,,1,14:06.439,,
1,174,2,,,,,,
1,175,1,2,,1,14:09.857,,
1,176,2,,,,,,
1,177,1,2,,1,14:13.979,,
1,178,2,,,,,,
1,179,1,2,,1,14:17.598,14:18.805,
1,180,2,,,,,,
1,181,1,2,,1,14:20.849,,
1,182,2,,,,,,
1,183,1,2,,1,14:24.367,,
1,184,2,,,,,,
1,185,1,2,,1,14:28.724,,
1,186,2,,,,,,
1,187,1,2,,1,14:32.644,,
1,188,2,,,,,,
1,189,1,2,,1,14:36.565,14:37.771,
