300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,13,13,14,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,24,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,46,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,59,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,94,94,95,95,96,96,97,97,98,98,99,99,100,1,2,2,4,4,6,6,8,8,10,10,11,12,14,14,15,16,18,18,20,20,22,22,24,24,26,26,27,28,30,30,31,32,34,34,36,36,37,38,39,40,42,42,44,44,46,47,48,48,50,50,52,52,54,54,55,56,57,58,60,60,62,62,63,64,66,66,67,68,70,70,71,72,73,74,75,76,78,78,80,80,81,82,84,84,85,86,88,88,90,90,92,92,94,94,96,96,98,98,100,100,101,102,104,104,106,106,107,108,110,111,111,113,114,114,116,116,118,118,120,120,122,122,124,125,126,126,128,128,130,130,132,132,133,134,136,136,138,138,140,140,142,142,143,144,146,146,148,148,150,150,152,152,153,154,156,156,158,158,160,160,162,162,164,164,166,166,168,168,170,170,172,172,174,174,175,176,177,178,180,180,182,182,184,184,186,186,188,188,190,190,192,192,194,194,196,196,198,198,200
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
2,1,3,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,3,1,3,1,3,1,3,1,3,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,3,1,2,1,2,1,2,1,3,1,2,1
90,90,60,90,90,90,30,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,30,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,60,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,60,90,90,90,60,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,60,90,60,90,60,90,60,90,60,90,90,90,90,90,90,90,90,90,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60,90,60,90,90,90,90,90,90,90,60,90,90,90
1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
25.63374,10.28909,5.244492,13.06075,2.117987,5.362437,2.357878,7.325498,1.732172,2.833645,1.42132,3.538308,1.438313,4.433459,1.21442,2.912611,1.35935,2.86563,1.149452,2.506803,0.9325581,2.209943,1.229412,2.420842,2.733698,2.84164,1.590241,4.476861,1.037505,2.066015,1.102477,2.053019,1.013515,1.92208,0.7496409,1.933076,0.8605883,2.193952,0.9025681,2.074008,0.9095628,2.075009,0.9345534,2.035027,1.054496,1.946067,1.734173,2.322889,1.118465,2.234932,0.9345534,1.970058,0.9575415,1.818132,0.9755373,1.743166,0.8865755,1.762159,0.6716785,2.121986,0.7266526,1.947069,0.8625879,1.833124,0.8375995,2.059016,0.94155,1.857114,0.9175606,1.795142,0.8795795,1.961062,0.7976205,1.706183,0.8385992,1.666204,0.861588,1.597235,0.7256525,1.769157,0.7506406,3.169484,1.133457,1.947069,0.9485481,1.745169,0.918561,1.882099,0.9495466,1.892096,2.26992,2.225936,1.206425,2.337888,0.8146086,2.260918,1.357351,2.169962,0.9725373,2.05102,0.9015715,1.850113,0.7976179,1.79614,0.9645381,1.98705,1.021513,1.778148,0.9335539,1.691193,0.756639,1.85911,1.0465,1.737169,0.9505451,1.71418,1.950068,3.170484,0.9025714,2.074012,0.6946673,1.96306,0.5897164,1.890096,0.6776755,1.689193,0.7106607,1.697189,0.7826254,1.731172,0.6866727,1.761158,0.757638,1.666206,0.7736297,1.801139,0.7506452,1.811133,0.8136103,1.618226,0.8226066,1.809133,0.7106581,1.730173,0.8386056,1.898096,0.733649,2.028291,0.8455968,1.953066,0.7986221,1.970058,0.9265568,1.721181,0.8785803,1.762157,0.9015682,1.498283,0.870584,1.217419,0.8775816,1.52527,0.8046155,1.579245,0.677676,1.589241,0.7976191,1.459304,0.8306038,1.434314,0.9575415,1.514277,0.9335527,1.441311,0.909565,1.635218,0.9175627,1.661206,0.9175637,1.427315,0.8775768,1.44231,0.9335532,1.482291,0.9175618,1.458303,0.8935733,1.546267,0.8056164,1.54526,0.8625879,1.642215,0.6626823,1.810134,0.7016649,1.552834,0.8056149,1.667204,0.812609,1.826128,1.561254,5.531356,1.062491,2.226936,0.9345531,1.98705,0.8385987,1.96306,0.7976184,1.828136,0.7576377,1.835124,0.7596354,1.965062,0.8136098,1.923081,0.7416465,3.091522,0.979532,3.026553,0.8545909,2.146975,0.9015689,2.035027,0.846595,3.444353,0.9345534,1.698186,0.8226073,1.932076,0.9575424,1.692191,1.014516,4.322931,1.037506,1.956063,1.006519,1.738168,0.9585402,1.76316,0.9895246,2.940594,0.9435487,3.770197,0.9905283,1.996045,1.566251,4.794706,0.9495459,2.242928,0.9585421,2.186953,0.8945725,1.997047,0.8296018,1.802138,0.8695853,1.740166,0.8775797,2.795664,0.893573,2.171961,1.005519,1.876103,0.9417551,1.954066,0.8925736,1.763156,0.9575443,1.837121,0.9255576,1.809135,0.9095647,1.866108,0.9265585,1.71418,0.8465996,3.758203,0.9485474,1.981052,1.053496,1.891097,1.037504,1.925079,0.9735327,1.908088,0.7506409,2.290905,0.8615863,2.234932,0.8465962,2.282911,0.9435477,2.201947,0.8705838,2.482812,0.7906253,2.569771,0.7826259,4.483855,0.9025686,1.892095,1.031507,3.746838,0.9105654,1.668203,0.7506416,1.531268,1.453306,2.234931,2.413846,1.875103,1.678198,4.813703,1.196428,2.267915,0.9575434,2.948591,1.006519,2.490812,0.8146086,2.611316,1.15045,2.241927,2.277912,3.11551,1.021512,2.379862,0.8056145,2.3009,0.8695838,1.869105,1.117465,1.825131,0.7586355,1.963061,0.8695924,3.860157,0.8865759,2.083005,0.8615944,2.091,0.9105651,1.835124,0.7345252,1.877103,0.8675852,1.965059,1.174439,2.035028,0.8465953,2.084004,0.8455956,1.883108,0.8945715,3.899136,1.013515,3.684238,0.9015687,2.076007,0.9345622,2.283909,1.022509,2.355874,0.8855758,3.843162,0.8935742,2.092001,0.8855767,3.298423,0.8935726,2.219939,0.9175618,2.113991,0.8935716,1.924079,0.9655387,1.8831,0.9415493,2.076009,0.8615839,3.949116,1.030507,2.146977,0.9655378,1.980053,0.8306026,1.980053,0.806617,2.235321,0.8705838,2.145974,0.8705838,2.146972,0.7816279,3.40537,0.7816257,2.226935,0.8056154,1.946073
1,1,1,1,2,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,14,14,15,15,16,16,17,17,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,31,31,32,32,33,33,34,34,35,35,36,36,36,36,37,37,38,38,38,38,39,39,40,40,41,41,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,62,62,63,63,64,64,65,65,65,65,66,66,67,67,67,67,68,68,68,68,69,69,70,70,71,71,72,72,73,73,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,84,84,1,1,2,2,3,3,4,4,4,4,5,5,5,5,6,6,7,7,8,8,9,9,10,10,10,10,11,11,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,18,18,19,19,20,20,21,21,21,21,22,22,23,23,24,24,24,24,25,25,26,26,27,27,27,27,28,28,29,29,30,30,30,30,30,30,31,31,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,41,41,42,42,43,43,44,44,44,44,45,45,45,45,46,46,47,47,48,48,49,49,50,50,51,51,51,51,52,52,53,53,53,53,54,54,55,55,56,56,56,56,56,56,57,57,58,58,59,59,60,60,60,60,60,60,61,61,62,62,63,63,63,63,64,64,65,65,66,66,67,67,68,68,68,68,68,68,69,69,69,69,69,69,70,70,71,71,72,72,72,72,73,73,74,74
0,1,1,2,2,3,3,4,4,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,36,36,37,37,38,38,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,51,51,52,52,53,53,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,71,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,0,1,1,2,2,3,3,4,4,5,5,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13,13,13,13,14,14,15,15,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,45,45,46,46,47,47,48,48,49,49,49,49,50,50,50,50,50,50,51,51,52,52,53,53,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,74,74,75,75,76,76,77,77,78,78,79,79,80,80,81,81,82,82,83,83,83,83,84,84,85,85,86,86,87
