,value,trial,game,participant,condition,experiment,dyad,mapping
0,0.0,0,1,m01_p1,social,4.0,m01,d
1,1.0,1,1,m01_p1,social,4.0,m01,d
2,1.0,2,1,m01_p1,social,4.0,m01,d
3,1.0,3,1,m01_p1,social,4.0,m01,d
4,1.0,4,1,m01_p1,social,4.0,m01,d
5,1.0,5,1,m01_p1,social,4.0,m01,d
6,1.0,6,1,m01_p1,social,4.0,m01,d
7,1.0,7,1,m01_p1,social,4.0,m01,d
8,2.0,8,1,m01_p1,social,4.0,m01,d
9,2.0,9,1,m01_p1,social,4.0,m01,d
10,2.0,10,1,m01_p1,social,4.0,m01,d
11,2.0,11,1,m01_p1,social,4.0,m01,d
12,3.0,12,1,m01_p1,social,4.0,m01,d
13,3.0,13,1,m01_p1,social,4.0,m01,d
14,3.0,14,1,m01_p1,social,4.0,m01,d
15,4.0,15,1,m01_p1,social,4.0,m01,d
16,5.0,16,1,m01_p1,social,4.0,m01,d
17,5.0,17,1,m01_p1,social,4.0,m01,d
18,5.0,18,1,m01_p1,social,4.0,m01,d
19,5.0,19,1,m01_p1,social,4.0,m01,d
20,5.0,20,1,m01_p1,social,4.0,m01,d
21,6.0,21,1,m01_p1,social,4.0,m01,d
22,7.0,22,1,m01_p1,social,4.0,m01,d
23,7.0,23,1,m01_p1,social,4.0,m01,d
24,8.0,24,1,m01_p1,social,4.0,m01,d
25,8.0,25,1,m01_p1,social,4.0,m01,d
26,8.0,26,1,m01_p1,social,4.0,m01,d
27,9.0,27,1,m01_p1,social,4.0,m01,d
28,9.0,28,1,m01_p1,social,4.0,m01,d
29,9.0,29,1,m01_p1,social,4.0,m01,d
30,9.0,30,1,m01_p1,social,4.0,m01,d
31,10.0,31,1,m01_p1,social,4.0,m01,d
32,10.0,32,1,m01_p1,social,4.0,m01,d
33,11.0,33,1,m01_p1,social,4.0,m01,d
34,11.0,34,1,m01_p1,social,4.0,m01,d
35,11.0,35,1,m01_p1,social,4.0,m01,d
36,12.0,36,1,m01_p1,social,4.0,m01,d
37,13.0,37,1,m01_p1,social,4.0,m01,d
38,13.0,38,1,m01_p1,social,4.0,m01,d
39,13.0,39,1,m01_p1,social,4.0,m01,d
40,14.0,40,1,m01_p1,social,4.0,m01,d
41,14.0,41,1,m01_p1,social,4.0,m01,d
42,14.0,42,1,m01_p1,social,4.0,m01,d
43,14.0,43,1,m01_p1,social,4.0,m01,d
44,15.0,44,1,m01_p1,social,4.0,m01,d
45,15.0,45,1,m01_p1,social,4.0,m01,d
46,15.0,46,1,m01_p1,social,4.0,m01,d
47,16.0,47,1,m01_p1,social,4.0,m01,d
48,16.0,48,1,m01_p1,social,4.0,m01,d
49,16.0,49,1,m01_p1,social,4.0,m01,d
50,16.0,50,1,m01_p1,social,4.0,m01,d
51,17.0,51,1,m01_p1,social,4.0,m01,d
52,17.0,52,1,m01_p1,social,4.0,m01,d
53,17.0,53,1,m01_p1,social,4.0,m01,d
54,17.0,54,1,m01_p1,social,4.0,m01,d
55,17.0,55,1,m01_p1,social,4.0,m01,d
56,18.0,56,1,m01_p1,social,4.0,m01,d
57,18.0,57,1,m01_p1,social,4.0,m01,d
58,18.0,58,1,m01_p1,social,4.0,m01,d
59,18.0,59,1,m01_p1,social,4.0,m01,d
60,19.0,60,1,m01_p1,social,4.0,m01,d
61,19.0,61,1,m01_p1,social,4.0,m01,d
62,19.0,62,1,m01_p1,social,4.0,m01,d
63,20.0,63,1,m01_p1,social,4.0,m01,d
64,20.0,64,1,m01_p1,social,4.0,m01,d
65,20.0,65,1,m01_p1,social,4.0,m01,d
66,21.0,66,1,m01_p1,social,4.0,m01,d
67,21.0,67,1,m01_p1,social,4.0,m01,d
68,22.0,68,1,m01_p1,social,4.0,m01,d
69,22.0,69,1,m01_p1,social,4.0,m01,d
70,23.0,70,1,m01_p1,social,4.0,m01,d
71,23.0,71,1,m01_p1,social,4.0,m01,d
72,23.0,72,1,m01_p1,social,4.0,m01,d
73,24.0,73,1,m01_p1,social,4.0,m01,d
74,24.0,74,1,m01_p1,social,4.0,m01,d
75,25.0,75,1,m01_p1,social,4.0,m01,d
76,25.0,76,1,m01_p1,social,4.0,m01,d
77,25.0,77,1,m01_p1,social,4.0,m01,d
78,26.0,78,1,m01_p1,social,4.0,m01,d
79,26.0,79,1,m01_p1,social,4.0,m01,d
80,26.0,80,1,m01_p1,social,4.0,m01,d
81,26.0,81,1,m01_p1,social,4.0,m01,d
82,26.0,82,1,m01_p1,social,4.0,m01,d
83,27.0,83,1,m01_p1,social,4.0,m01,d
84,27.0,84,1,m01_p1,social,4.0,m01,d
85,28.0,85,1,m01_p1,social,4.0,m01,d
86,28.0,86,1,m01_p1,social,4.0,m01,d
