,value,trial,game,participant,condition,experiment,dyad,mapping
0,0.0,0,1,c01_p1,control,4.0,c01,s
1,0.0,1,1,c01_p1,control,4.0,c01,s
2,1.0,2,1,c01_p1,control,4.0,c01,s
3,1.0,3,1,c01_p1,control,4.0,c01,s
4,2.0,4,1,c01_p1,control,4.0,c01,s
5,3.0,5,1,c01_p1,control,4.0,c01,s
6,3.0,6,1,c01_p1,control,4.0,c01,s
7,3.0,7,1,c01_p1,control,4.0,c01,s
8,3.0,8,1,c01_p1,control,4.0,c01,s
9,3.0,9,1,c01_p1,control,4.0,c01,s
10,4.0,10,1,c01_p1,control,4.0,c01,s
11,4.0,11,1,c01_p1,control,4.0,c01,s
12,4.0,12,1,c01_p1,control,4.0,c01,s
13,4.0,13,1,c01_p1,control,4.0,c01,s
14,5.0,14,1,c01_p1,control,4.0,c01,s
15,6.0,15,1,c01_p1,control,4.0,c01,s
16,6.0,16,1,c01_p1,control,4.0,c01,s
17,6.0,17,1,c01_p1,control,4.0,c01,s
18,7.0,18,1,c01_p1,control,4.0,c01,s
19,7.0,19,1,c01_p1,control,4.0,c01,s
20,7.0,20,1,c01_p1,control,4.0,c01,s
21,8.0,21,1,c01_p1,control,4.0,c01,s
22,9.0,22,1,c01_p1,control,4.0,c01,s
23,9.0,23,1,c01_p1,control,4.0,c01,s
24,9.0,24,1,c01_p1,control,4.0,c01,s
25,9.0,25,1,c01_p1,control,4.0,c01,s
26,9.0,26,1,c01_p1,control,4.0,c01,s
27,10.0,27,1,c01_p1,control,4.0,c01,s
28,10.0,28,1,c01_p1,control,4.0,c01,s
29,10.0,29,1,c01_p1,control,4.0,c01,s
30,10.0,30,1,c01_p1,control,4.0,c01,s
31,10.0,31,1,c01_p1,control,4.0,c01,s
32,10.0,32,1,c01_p1,control,4.0,c01,s
33,10.0,33,1,c01_p1,control,4.0,c01,s
34,10.0,34,1,c01_p1,control,4.0,c01,s
35,10.0,35,1,c01_p1,control,4.0,c01,s
36,11.0,36,1,c01_p1,control,4.0,c01,s
37,11.0,37,1,c01_p1,control,4.0,c01,s
38,12.0,38,1,c01_p1,control,4.0,c01,s
39,12.0,39,1,c01_p1,control,4.0,c01,s
40,12.0,40,1,c01_p1,control,4.0,c01,s
41,12.0,41,1,c01_p1,control,4.0,c01,s
42,13.0,42,1,c01_p1,control,4.0,c01,s
43,13.0,43,1,c01_p1,control,4.0,c01,s
44,14.0,44,1,c01_p1,control,4.0,c01,s
45,15.0,45,1,c01_p1,control,4.0,c01,s
46,15.0,46,1,c01_p1,control,4.0,c01,s
47,15.0,47,1,c01_p1,control,4.0,c01,s
48,15.0,48,1,c01_p1,control,4.0,c01,s
49,16.0,49,1,c01_p1,control,4.0,c01,s
50,17.0,50,1,c01_p1,control,4.0,c01,s
51,17.0,51,1,c01_p1,control,4.0,c01,s
52,17.0,52,1,c01_p1,control,4.0,c01,s
53,17.0,53,1,c01_p1,control,4.0,c01,s
54,18.0,54,1,c01_p1,control,4.0,c01,s
55,18.0,55,1,c01_p1,control,4.0,c01,s
56,19.0,56,1,c01_p1,control,4.0,c01,s
57,19.0,57,1,c01_p1,control,4.0,c01,s
58,20.0,58,1,c01_p1,control,4.0,c01,s
59,20.0,59,1,c01_p1,control,4.0,c01,s
60,20.0,60,1,c01_p1,control,4.0,c01,s
61,20.0,61,1,c01_p1,control,4.0,c01,s
62,20.0,62,1,c01_p1,control,4.0,c01,s
63,21.0,63,1,c01_p1,control,4.0,c01,s
64,22.0,64,1,c01_p1,control,4.0,c01,s
65,23.0,65,1,c01_p1,control,4.0,c01,s
66,23.0,66,1,c01_p1,control,4.0,c01,s
67,24.0,67,1,c01_p1,control,4.0,c01,s
68,24.0,68,1,c01_p1,control,4.0,c01,s
69,24.0,69,1,c01_p1,control,4.0,c01,s
70,25.0,70,1,c01_p1,control,4.0,c01,s
71,26.0,71,1,c01_p1,control,4.0,c01,s
72,26.0,72,1,c01_p1,control,4.0,c01,s
73,27.0,73,1,c01_p1,control,4.0,c01,s
74,27.0,74,1,c01_p1,control,4.0,c01,s
75,27.0,75,1,c01_p1,control,4.0,c01,s
76,28.0,76,1,c01_p1,control,4.0,c01,s
77,29.0,77,1,c01_p1,control,4.0,c01,s
78,29.0,78,1,c01_p1,control,4.0,c01,s
79,30.0,79,1,c01_p1,control,4.0,c01,s
80,30.0,80,1,c01_p1,control,4.0,c01,s
81,31.0,81,1,c01_p1,control,4.0,c01,s
82,31.0,82,1,c01_p1,control,4.0,c01,s
83,31.0,83,1,c01_p1,control,4.0,c01,s
84,32.0,84,1,c01_p1,control,4.0,c01,s
85,33.0,85,1,c01_p1,control,4.0,c01,s
86,34.0,86,1,c01_p1,control,4.0,c01,s
87,35.0,87,1,c01_p1,control,4.0,c01,s
88,36.0,88,1,c01_p1,control,4.0,c01,s
89,37.0,89,1,c01_p1,control,4.0,c01,s
90,38.0,90,1,c01_p1,control,4.0,c01,s
91,38.0,91,1,c01_p1,control,4.0,c01,s
92,38.0,92,1,c01_p1,control,4.0,c01,s
93,38.0,93,1,c01_p1,control,4.0,c01,s
94,39.0,94,1,c01_p1,control,4.0,c01,s
95,40.0,95,1,c01_p1,control,4.0,c01,s
96,41.0,96,1,c01_p1,control,4.0,c01,s
97,42.0,97,1,c01_p1,control,4.0,c01,s
98,43.0,98,1,c01_p1,control,4.0,c01,s
99,43.0,99,1,c01_p1,control,4.0,c01,s
100,0.0,0,1,c02_p1,control,4.0,c02,d
101,0.0,1,1,c02_p1,control,4.0,c02,d
102,0.0,2,1,c02_p1,control,4.0,c02,d
103,1.0,3,1,c02_p1,control,4.0,c02,d
104,1.0,4,1,c02_p1,control,4.0,c02,d
105,1.0,5,1,c02_p1,control,4.0,c02,d
106,1.0,6,1,c02_p1,control,4.0,c02,d
107,1.0,7,1,c02_p1,control,4.0,c02,d
108,2.0,8,1,c02_p1,control,4.0,c02,d
109,2.0,9,1,c02_p1,control,4.0,c02,d
110,2.0,10,1,c02_p1,control,4.0,c02,d
111,3.0,11,1,c02_p1,control,4.0,c02,d
112,4.0,12,1,c02_p1,control,4.0,c02,d
113,4.0,13,1,c02_p1,control,4.0,c02,d
114,5.0,14,1,c02_p1,control,4.0,c02,d
115,5.0,15,1,c02_p1,control,4.0,c02,d
116,6.0,16,1,c02_p1,control,4.0,c02,d
117,6.0,17,1,c02_p1,control,4.0,c02,d
118,7.0,18,1,c02_p1,control,4.0,c02,d
119,7.0,19,1,c02_p1,control,4.0,c02,d
120,8.0,20,1,c02_p1,control,4.0,c02,d
121,8.0,21,1,c02_p1,control,4.0,c02,d
122,9.0,22,1,c02_p1,control,4.0,c02,d
123,9.0,23,1,c02_p1,control,4.0,c02,d
124,9.0,24,1,c02_p1,control,4.0,c02,d
125,10.0,25,1,c02_p1,control,4.0,c02,d
126,10.0,26,1,c02_p1,control,4.0,c02,d
127,10.0,27,1,c02_p1,control,4.0,c02,d
128,10.0,28,1,c02_p1,control,4.0,c02,d
129,10.0,29,1,c02_p1,control,4.0,c02,d
130,10.0,30,1,c02_p1,control,4.0,c02,d
131,10.0,31,1,c02_p1,control,4.0,c02,d
132,10.0,32,1,c02_p1,control,4.0,c02,d
133,10.0,33,1,c02_p1,control,4.0,c02,d
134,10.0,34,1,c02_p1,control,4.0,c02,d
135,10.0,35,1,c02_p1,control,4.0,c02,d
136,10.0,36,1,c02_p1,control,4.0,c02,d
137,10.0,37,1,c02_p1,control,4.0,c02,d
138,10.0,38,1,c02_p1,control,4.0,c02,d
139,10.0,39,1,c02_p1,control,4.0,c02,d
140,10.0,40,1,c02_p1,control,4.0,c02,d
141,10.0,41,1,c02_p1,control,4.0,c02,d
142,11.0,42,1,c02_p1,control,4.0,c02,d
143,11.0,43,1,c02_p1,control,4.0,c02,d
144,11.0,44,1,c02_p1,control,4.0,c02,d
145,11.0,45,1,c02_p1,control,4.0,c02,d
146,11.0,46,1,c02_p1,control,4.0,c02,d
147,12.0,47,1,c02_p1,control,4.0,c02,d
148,13.0,48,1,c02_p1,control,4.0,c02,d
149,14.0,49,1,c02_p1,control,4.0,c02,d
150,15.0,50,1,c02_p1,control,4.0,c02,d
151,16.0,51,1,c02_p1,control,4.0,c02,d
152,17.0,52,1,c02_p1,control,4.0,c02,d
153,18.0,53,1,c02_p1,control,4.0,c02,d
154,19.0,54,1,c02_p1,control,4.0,c02,d
155,20.0,55,1,c02_p1,control,4.0,c02,d
156,21.0,56,1,c02_p1,control,4.0,c02,d
157,22.0,57,1,c02_p1,control,4.0,c02,d
158,23.0,58,1,c02_p1,control,4.0,c02,d
159,24.0,59,1,c02_p1,control,4.0,c02,d
160,25.0,60,1,c02_p1,control,4.0,c02,d
161,26.0,61,1,c02_p1,control,4.0,c02,d
162,26.0,62,1,c02_p1,control,4.0,c02,d
163,26.0,63,1,c02_p1,control,4.0,c02,d
164,27.0,64,1,c02_p1,control,4.0,c02,d
165,28.0,65,1,c02_p1,control,4.0,c02,d
166,29.0,66,1,c02_p1,control,4.0,c02,d
167,30.0,67,1,c02_p1,control,4.0,c02,d
168,31.0,68,1,c02_p1,control,4.0,c02,d
169,32.0,69,1,c02_p1,control,4.0,c02,d
170,33.0,70,1,c02_p1,control,4.0,c02,d
171,33.0,71,1,c02_p1,control,4.0,c02,d
172,33.0,72,1,c02_p1,control,4.0,c02,d
173,33.0,73,1,c02_p1,control,4.0,c02,d
174,33.0,74,1,c02_p1,control,4.0,c02,d
175,33.0,75,1,c02_p1,control,4.0,c02,d
176,33.0,76,1,c02_p1,control,4.0,c02,d
177,33.0,77,1,c02_p1,control,4.0,c02,d
178,34.0,78,1,c02_p1,control,4.0,c02,d
179,34.0,79,1,c02_p1,control,4.0,c02,d
180,34.0,80,1,c02_p1,control,4.0,c02,d
181,34.0,81,1,c02_p1,control,4.0,c02,d
182,34.0,82,1,c02_p1,control,4.0,c02,d
183,34.0,83,1,c02_p1,control,4.0,c02,d
184,34.0,84,1,c02_p1,control,4.0,c02,d
185,34.0,85,1,c02_p1,control,4.0,c02,d
186,34.0,86,1,c02_p1,control,4.0,c02,d
187,34.0,87,1,c02_p1,control,4.0,c02,d
188,34.0,88,1,c02_p1,control,4.0,c02,d
189,34.0,89,1,c02_p1,control,4.0,c02,d
190,35.0,90,1,c02_p1,control,4.0,c02,d
191,36.0,91,1,c02_p1,control,4.0,c02,d
192,37.0,92,1,c02_p1,control,4.0,c02,d
193,38.0,93,1,c02_p1,control,4.0,c02,d
194,39.0,94,1,c02_p1,control,4.0,c02,d
195,39.0,95,1,c02_p1,control,4.0,c02,d
196,39.0,96,1,c02_p1,control,4.0,c02,d
197,40.0,97,1,c02_p1,control,4.0,c02,d
198,41.0,98,1,c02_p1,control,4.0,c02,d
199,42.0,99,1,c02_p1,control,4.0,c02,d
200,0.0,0,1,c03_p1,control,4.0,c03,d
201,1.0,1,1,c03_p1,control,4.0,c03,d
202,1.0,2,1,c03_p1,control,4.0,c03,d
203,1.0,3,1,c03_p1,control,4.0,c03,d
204,1.0,4,1,c03_p1,control,4.0,c03,d
205,2.0,5,1,c03_p1,control,4.0,c03,d
206,2.0,6,1,c03_p1,control,4.0,c03,d
207,2.0,7,1,c03_p1,control,4.0,c03,d
208,3.0,8,1,c03_p1,control,4.0,c03,d
209,3.0,9,1,c03_p1,control,4.0,c03,d
210,3.0,10,1,c03_p1,control,4.0,c03,d
211,4.0,11,1,c03_p1,control,4.0,c03,d
212,4.0,12,1,c03_p1,control,4.0,c03,d
213,4.0,13,1,c03_p1,control,4.0,c03,d
214,5.0,14,1,c03_p1,control,4.0,c03,d
215,5.0,15,1,c03_p1,control,4.0,c03,d
216,5.0,16,1,c03_p1,control,4.0,c03,d
217,6.0,17,1,c03_p1,control,4.0,c03,d
218,7.0,18,1,c03_p1,control,4.0,c03,d
219,7.0,19,1,c03_p1,control,4.0,c03,d
220,8.0,20,1,c03_p1,control,4.0,c03,d
221,9.0,21,1,c03_p1,control,4.0,c03,d
222,10.0,22,1,c03_p1,control,4.0,c03,d
223,11.0,23,1,c03_p1,control,4.0,c03,d
224,12.0,24,1,c03_p1,control,4.0,c03,d
225,13.0,25,1,c03_p1,control,4.0,c03,d
