,value,trial,game,participant,condition,experiment,dyad,mapping
0,0.0,0,1,c01_p1,control,4.0,c01,s
1,0.0,1,1,c01_p1,control,4.0,c01,s
2,0.0,2,1,c01_p1,control,4.0,c01,s
3,1.0,3,1,c01_p1,control,4.0,c01,s
4,1.0,4,1,c01_p1,control,4.0,c01,s
5,1.0,5,1,c01_p1,control,4.0,c01,s
6,1.0,6,1,c01_p1,control,4.0,c01,s
7,1.0,7,1,c01_p1,control,4.0,c01,s
8,2.0,8,1,c01_p1,control,4.0,c01,s
9,2.0,9,1,c01_p1,control,4.0,c01,s
10,2.0,10,1,c01_p1,control,4.0,c01,s
11,2.0,11,1,c01_p1,control,4.0,c01,s
12,3.0,12,1,c01_p1,control,4.0,c01,s
13,4.0,13,1,c01_p1,control,4.0,c01,s
14,4.0,14,1,c01_p1,control,4.0,c01,s
15,4.0,15,1,c01_p1,control,4.0,c01,s
16,4.0,16,1,c01_p1,control,4.0,c01,s
17,4.0,17,1,c01_p1,control,4.0,c01,s
18,4.0,18,1,c01_p1,control,4.0,c01,s
19,5.0,19,1,c01_p1,control,4.0,c01,s
20,5.0,20,1,c01_p1,control,4.0,c01,s
21,5.0,21,1,c01_p1,control,4.0,c01,s
22,5.0,22,1,c01_p1,control,4.0,c01,s
23,5.0,23,1,c01_p1,control,4.0,c01,s
24,5.0,24,1,c01_p1,control,4.0,c01,s
25,6.0,25,1,c01_p1,control,4.0,c01,s
26,6.0,26,1,c01_p1,control,4.0,c01,s
27,6.0,27,1,c01_p1,control,4.0,c01,s
28,7.0,28,1,c01_p1,control,4.0,c01,s
29,7.0,29,1,c01_p1,control,4.0,c01,s
30,7.0,30,1,c01_p1,control,4.0,c01,s
31,7.0,31,1,c01_p1,control,4.0,c01,s
32,8.0,32,1,c01_p1,control,4.0,c01,s
33,8.0,33,1,c01_p1,control,4.0,c01,s
34,8.0,34,1,c01_p1,control,4.0,c01,s
35,8.0,35,1,c01_p1,control,4.0,c01,s
36,8.0,36,1,c01_p1,control,4.0,c01,s
37,8.0,37,1,c01_p1,control,4.0,c01,s
38,8.0,38,1,c01_p1,control,4.0,c01,s
39,8.0,39,1,c01_p1,control,4.0,c01,s
40,9.0,40,1,c01_p1,control,4.0,c01,s
41,9.0,41,1,c01_p1,control,4.0,c01,s
42,9.0,42,1,c01_p1,control,4.0,c01,s
43,9.0,43,1,c01_p1,control,4.0,c01,s
44,9.0,44,1,c01_p1,control,4.0,c01,s
45,9.0,45,1,c01_p1,control,4.0,c01,s
46,10.0,46,1,c01_p1,control,4.0,c01,s
47,10.0,47,1,c01_p1,control,4.0,c01,s
48,11.0,48,1,c01_p1,control,4.0,c01,s
49,11.0,49,1,c01_p1,control,4.0,c01,s
50,11.0,50,1,c01_p1,control,4.0,c01,s
51,11.0,51,1,c01_p1,control,4.0,c01,s
52,12.0,52,1,c01_p1,control,4.0,c01,s
53,12.0,53,1,c01_p1,control,4.0,c01,s
54,12.0,54,1,c01_p1,control,4.0,c01,s
55,13.0,55,1,c01_p1,control,4.0,c01,s
56,13.0,56,1,c01_p1,control,4.0,c01,s
57,13.0,57,1,c01_p1,control,4.0,c01,s
58,13.0,58,1,c01_p1,control,4.0,c01,s
59,13.0,59,1,c01_p1,control,4.0,c01,s
60,14.0,60,1,c01_p1,control,4.0,c01,s
61,15.0,61,1,c01_p1,control,4.0,c01,s
62,16.0,62,1,c01_p1,control,4.0,c01,s
63,16.0,63,1,c01_p1,control,4.0,c01,s
64,16.0,64,1,c01_p1,control,4.0,c01,s
65,16.0,65,1,c01_p1,control,4.0,c01,s
66,16.0,66,1,c01_p1,control,4.0,c01,s
67,16.0,67,1,c01_p1,control,4.0,c01,s
68,17.0,68,1,c01_p1,control,4.0,c01,s
69,18.0,69,1,c01_p1,control,4.0,c01,s
70,18.0,70,1,c01_p1,control,4.0,c01,s
71,18.0,71,1,c01_p1,control,4.0,c01,s
72,19.0,72,1,c01_p1,control,4.0,c01,s
73,19.0,73,1,c01_p1,control,4.0,c01,s
74,19.0,74,1,c01_p1,control,4.0,c01,s
75,20.0,75,1,c01_p1,control,4.0,c01,s
76,20.0,76,1,c01_p1,control,4.0,c01,s
77,20.0,77,1,c01_p1,control,4.0,c01,s
78,21.0,78,1,c01_p1,control,4.0,c01,s
79,21.0,79,1,c01_p1,control,4.0,c01,s
80,21.0,80,1,c01_p1,control,4.0,c01,s
81,21.0,81,1,c01_p1,control,4.0,c01,s
82,22.0,82,1,c01_p1,control,4.0,c01,s
83,22.0,83,1,c01_p1,control,4.0,c01,s
84,22.0,84,1,c01_p1,control,4.0,c01,s
85,22.0,85,1,c01_p1,control,4.0,c01,s
86,22.0,86,1,c01_p1,control,4.0,c01,s
87,22.0,87,1,c01_p1,control,4.0,c01,s
88,22.0,88,1,c01_p1,control,4.0,c01,s
89,22.0,89,1,c01_p1,control,4.0,c01,s
90,22.0,90,1,c01_p1,control,4.0,c01,s
91,22.0,91,1,c01_p1,control,4.0,c01,s
92,22.0,92,1,c01_p1,control,4.0,c01,s
93,23.0,93,1,c01_p1,control,4.0,c01,s
94,23.0,94,1,c01_p1,control,4.0,c01,s
95,23.0,95,1,c01_p1,control,4.0,c01,s
96,23.0,96,1,c01_p1,control,4.0,c01,s
97,23.0,97,1,c01_p1,control,4.0,c01,s
98,23.0,98,1,c01_p1,control,4.0,c01,s
99,23.0,99,1,c01_p1,control,4.0,c01,s
100,0.0,0,1,c02_p1,control,4.0,c02,d
101,1.0,1,1,c02_p1,control,4.0,c02,d
102,2.0,2,1,c02_p1,control,4.0,c02,d
103,2.0,3,1,c02_p1,control,4.0,c02,d
104,2.0,4,1,c02_p1,control,4.0,c02,d
105,2.0,5,1,c02_p1,control,4.0,c02,d
106,3.0,6,1,c02_p1,control,4.0,c02,d
107,3.0,7,1,c02_p1,control,4.0,c02,d
108,3.0,8,1,c02_p1,control,4.0,c02,d
109,4.0,9,1,c02_p1,control,4.0,c02,d
110,4.0,10,1,c02_p1,control,4.0,c02,d
111,4.0,11,1,c02_p1,control,4.0,c02,d
112,4.0,12,1,c02_p1,control,4.0,c02,d
113,4.0,13,1,c02_p1,control,4.0,c02,d
114,4.0,14,1,c02_p1,control,4.0,c02,d
115,4.0,15,1,c02_p1,control,4.0,c02,d
116,4.0,16,1,c02_p1,control,4.0,c02,d
117,4.0,17,1,c02_p1,control,4.0,c02,d
118,4.0,18,1,c02_p1,control,4.0,c02,d
119,4.0,19,1,c02_p1,control,4.0,c02,d
120,4.0,20,1,c02_p1,control,4.0,c02,d
121,4.0,21,1,c02_p1,control,4.0,c02,d
122,4.0,22,1,c02_p1,control,4.0,c02,d
123,4.0,23,1,c02_p1,control,4.0,c02,d
124,4.0,24,1,c02_p1,control,4.0,c02,d
125,4.0,25,1,c02_p1,control,4.0,c02,d
126,4.0,26,1,c02_p1,control,4.0,c02,d
127,4.0,27,1,c02_p1,control,4.0,c02,d
128,5.0,28,1,c02_p1,control,4.0,c02,d
129,6.0,29,1,c02_p1,control,4.0,c02,d
130,7.0,30,1,c02_p1,control,4.0,c02,d
131,8.0,31,1,c02_p1,control,4.0,c02,d
132,9.0,32,1,c02_p1,control,4.0,c02,d
133,9.0,33,1,c02_p1,control,4.0,c02,d
134,9.0,34,1,c02_p1,control,4.0,c02,d
135,9.0,35,1,c02_p1,control,4.0,c02,d
136,9.0,36,1,c02_p1,control,4.0,c02,d
137,9.0,37,1,c02_p1,control,4.0,c02,d
138,9.0,38,1,c02_p1,control,4.0,c02,d
139,9.0,39,1,c02_p1,control,4.0,c02,d
140,9.0,40,1,c02_p1,control,4.0,c02,d
141,9.0,41,1,c02_p1,control,4.0,c02,d
142,9.0,42,1,c02_p1,control,4.0,c02,d
143,10.0,43,1,c02_p1,control,4.0,c02,d
144,10.0,44,1,c02_p1,control,4.0,c02,d
145,10.0,45,1,c02_p1,control,4.0,c02,d
146,10.0,46,1,c02_p1,control,4.0,c02,d
147,10.0,47,1,c02_p1,control,4.0,c02,d
148,10.0,48,1,c02_p1,control,4.0,c02,d
149,10.0,49,1,c02_p1,control,4.0,c02,d
150,10.0,50,1,c02_p1,control,4.0,c02,d
151,10.0,51,1,c02_p1,control,4.0,c02,d
152,10.0,52,1,c02_p1,control,4.0,c02,d
153,10.0,53,1,c02_p1,control,4.0,c02,d
154,10.0,54,1,c02_p1,control,4.0,c02,d
155,10.0,55,1,c02_p1,control,4.0,c02,d
156,10.0,56,1,c02_p1,control,4.0,c02,d
157,10.0,57,1,c02_p1,control,4.0,c02,d
158,10.0,58,1,c02_p1,control,4.0,c02,d
159,10.0,59,1,c02_p1,control,4.0,c02,d
160,10.0,60,1,c02_p1,control,4.0,c02,d
161,10.0,61,1,c02_p1,control,4.0,c02,d
162,10.0,62,1,c02_p1,control,4.0,c02,d
163,10.0,63,1,c02_p1,control,4.0,c02,d
164,10.0,64,1,c02_p1,control,4.0,c02,d
165,10.0,65,1,c02_p1,control,4.0,c02,d
166,10.0,66,1,c02_p1,control,4.0,c02,d
167,10.0,67,1,c02_p1,control,4.0,c02,d
168,10.0,68,1,c02_p1,control,4.0,c02,d
169,10.0,69,1,c02_p1,control,4.0,c02,d
170,10.0,70,1,c02_p1,control,4.0,c02,d
171,10.0,71,1,c02_p1,control,4.0,c02,d
172,10.0,72,1,c02_p1,control,4.0,c02,d
173,10.0,73,1,c02_p1,control,4.0,c02,d
174,10.0,74,1,c02_p1,control,4.0,c02,d
175,10.0,75,1,c02_p1,control,4.0,c02,d
176,10.0,76,1,c02_p1,control,4.0,c02,d
177,10.0,77,1,c02_p1,control,4.0,c02,d
178,10.0,78,1,c02_p1,control,4.0,c02,d
179,10.0,79,1,c02_p1,control,4.0,c02,d
180,10.0,80,1,c02_p1,control,4.0,c02,d
181,11.0,81,1,c02_p1,control,4.0,c02,d
182,11.0,82,1,c02_p1,control,4.0,c02,d
183,12.0,83,1,c02_p1,control,4.0,c02,d
184,12.0,84,1,c02_p1,control,4.0,c02,d
185,12.0,85,1,c02_p1,control,4.0,c02,d
186,12.0,86,1,c02_p1,control,4.0,c02,d
187,12.0,87,1,c02_p1,control,4.0,c02,d
188,12.0,88,1,c02_p1,control,4.0,c02,d
189,13.0,89,1,c02_p1,control,4.0,c02,d
190,13.0,90,1,c02_p1,control,4.0,c02,d
191,13.0,91,1,c02_p1,control,4.0,c02,d
192,13.0,92,1,c02_p1,control,4.0,c02,d
193,13.0,93,1,c02_p1,control,4.0,c02,d
194,13.0,94,1,c02_p1,control,4.0,c02,d
195,13.0,95,1,c02_p1,control,4.0,c02,d
196,13.0,96,1,c02_p1,control,4.0,c02,d
197,13.0,97,1,c02_p1,control,4.0,c02,d
198,13.0,98,1,c02_p1,control,4.0,c02,d
199,13.0,99,1,c02_p1,control,4.0,c02,d
200,0.0,0,1,c03_p1,control,4.0,c03,d
201,0.0,1,1,c03_p1,control,4.0,c03,d
202,0.0,2,1,c03_p1,control,4.0,c03,d
203,1.0,3,1,c03_p1,control,4.0,c03,d
204,2.0,4,1,c03_p1,control,4.0,c03,d
205,2.0,5,1,c03_p1,control,4.0,c03,d
206,2.0,6,1,c03_p1,control,4.0,c03,d
207,3.0,7,1,c03_p1,control,4.0,c03,d
208,3.0,8,1,c03_p1,control,4.0,c03,d
209,4.0,9,1,c03_p1,control,4.0,c03,d
210,5.0,10,1,c03_p1,control,4.0,c03,d
211,5.0,11,1,c03_p1,control,4.0,c03,d
212,6.0,12,1,c03_p1,control,4.0,c03,d
213,7.0,13,1,c03_p1,control,4.0,c03,d
214,7.0,14,1,c03_p1,control,4.0,c03,d
215,7.0,15,1,c03_p1,control,4.0,c03,d
216,8.0,16,1,c03_p1,control,4.0,c03,d
217,8.0,17,1,c03_p1,control,4.0,c03,d
218,8.0,18,1,c03_p1,control,4.0,c03,d
219,9.0,19,1,c03_p1,control,4.0,c03,d
220,9.0,20,1,c03_p1,control,4.0,c03,d
221,9.0,21,1,c03_p1,control,4.0,c03,d
222,9.0,22,1,c03_p1,control,4.0,c03,d
223,9.0,23,1,c03_p1,control,4.0,c03,d
224,9.0,24,1,c03_p1,control,4.0,c03,d
225,9.0,25,1,c03_p1,control,4.0,c03,d
