,participant,variable,value,experiment,condition
0,s01,1,60,3.0,control
1,s03,1,63,3.0,control
2,s05,1,77,3.0,control
3,s06,1,82,3.0,control
4,s07,1,63,3.0,control
5,s08,1,90,3.0,control
6,s09,1,65,3.0,control
7,s11,1,60,3.0,control
8,s12,1,83,3.0,control
9,s15,1,74,3.0,control
10,s16,1,59,3.0,control
11,s17,1,84,3.0,control
12,s19,1,72,3.0,control
13,s20,1,59,3.0,control
14,c02,1,74,4.0,control
15,c03,1,79,4.0,control
16,c05,1,61,4.0,control
17,c06,1,59,4.0,control
18,c09,1,61,4.0,control
19,c10,1,81,4.0,control
20,c11,1,69,4.0,control
21,c12,1,59,4.0,control
22,c13,1,64,4.0,control
23,c14,1,67,4.0,control
24,c16,1,70,4.0,control
25,c17,1,85,4.0,control
26,s01,2,74,3.0,control
27,s03,2,71,3.0,control
28,s05,2,88,3.0,control
29,s06,2,87,3.0,control
30,s07,2,68,3.0,control
31,s08,2,80,3.0,control
32,s09,2,70,3.0,control
33,s11,2,61,3.0,control
34,s12,2,86,3.0,control
35,s15,2,90,3.0,control
36,s16,2,58,3.0,control
37,s17,2,74,3.0,control
38,s19,2,79,3.0,control
39,s20,2,63,3.0,control
40,c02,2,85,4.0,control
41,c03,2,73,4.0,control
42,c05,2,72,4.0,control
43,c06,2,53,4.0,control
44,c09,2,44,4.0,control
45,c10,2,79,4.0,control
46,c11,2,82,4.0,control
47,c12,2,53,4.0,control
48,c13,2,68,4.0,control
49,c14,2,65,4.0,control
50,c16,2,72,4.0,control
51,c17,2,75,4.0,control
52,j01_p1,1,57,3.0,social
53,j01_p2,1,61,3.0,social
54,j02_p1,1,54,3.0,social
55,j02_p2,1,68,3.0,social
56,j03_p1,1,69,3.0,social
57,j03_p2,1,67,3.0,social
58,j04_p1,1,64,3.0,social
59,j04_p2,1,56,3.0,social
60,j05_p1,1,77,3.0,social
61,j05_p2,1,70,3.0,social
62,j06_p1,1,54,3.0,social
63,j06_p2,1,61,3.0,social
64,j07_p1,1,74,3.0,social
65,j07_p2,1,80,3.0,social
66,j08_p1,1,60,3.0,social
67,j08_p2,1,57,3.0,social
68,j10_p1,1,66,3.0,social
69,j10_p2,1,75,3.0,social
70,j11_p1,1,79,3.0,social
71,j11_p2,1,88,3.0,social
72,m05_p1,1,86,4.0,social
73,m05_p2,1,75,4.0,social
74,m06_p1,1,57,4.0,social
75,m06_p2,1,72,4.0,social
76,m08_p1,1,69,4.0,social
77,m08_p2,1,83,4.0,social
78,m10_p1,1,69,4.0,social
79,m10_p2,1,57,4.0,social
80,m11_p1,1,80,4.0,social
81,m11_p2,1,87,4.0,social
82,m13_p1,1,53,4.0,social
83,m13_p2,1,60,4.0,social
84,m14_p1,1,75,4.0,social
85,m14_p2,1,63,4.0,social
86,j01_p1,2,73,3.0,social
87,j01_p2,2,60,3.0,social
88,j02_p1,2,72,3.0,social
89,j02_p2,2,76,3.0,social
90,j03_p1,2,82,3.0,social
91,j03_p2,2,75,3.0,social
92,j04_p1,2,60,3.0,social
93,j04_p2,2,54,3.0,social
94,j05_p1,2,70,3.0,social
95,j05_p2,2,78,3.0,social
96,j06_p1,2,76,3.0,social
97,j06_p2,2,75,3.0,social
98,j07_p1,2,84,3.0,social
99,j07_p2,2,74,3.0,social
100,j08_p1,2,83,3.0,social
101,j08_p2,2,71,3.0,social
102,j10_p1,2,76,3.0,social
103,j10_p2,2,79,3.0,social
104,j11_p1,2,77,3.0,social
105,j11_p2,2,89,3.0,social
106,m05_p1,2,68,4.0,social
107,m05_p2,2,86,4.0,social
108,m06_p1,2,63,4.0,social
109,m06_p2,2,69,4.0,social
110,m08_p1,2,81,4.0,social
111,m08_p2,2,89,4.0,social
112,m10_p1,2,67,4.0,social
113,m10_p2,2,63,4.0,social
114,m11_p1,2,84,4.0,social
115,m11_p2,2,88,4.0,social
116,m13_p1,2,68,4.0,social
117,m13_p2,2,73,4.0,social
118,m14_p1,2,55,4.0,social
119,m14_p2,2,57,4.0,social
