,variable,value,trial
0,m01_p1_g1,0,0
1,m01_p1_g1,1,1
2,m01_p1_g1,1,2
3,m01_p1_g1,1,3
4,m01_p1_g1,1,4
5,m01_p1_g1,1,5
6,m01_p1_g1,1,6
7,m01_p1_g1,1,7
8,m01_p1_g1,2,8
9,m01_p1_g1,2,9
10,m01_p1_g1,2,10
11,m01_p1_g1,2,11
12,m01_p1_g1,3,12
13,m01_p1_g1,3,13
14,m01_p1_g1,3,14
15,m01_p1_g1,4,15
16,m01_p1_g1,5,16
17,m01_p1_g1,5,17
18,m01_p1_g1,5,18
19,m01_p1_g1,5,19
20,m01_p1_g1,5,20
21,m01_p1_g1,6,21
22,m01_p1_g1,7,22
23,m01_p1_g1,7,23
24,m01_p1_g1,8,24
25,m01_p1_g1,8,25
26,m01_p1_g1,8,26
27,m01_p1_g1,9,27
28,m01_p1_g1,9,28
29,m01_p1_g1,9,29
30,m01_p1_g1,9,30
31,m01_p1_g1,10,31
32,m01_p1_g1,10,32
33,m01_p1_g1,11,33
34,m01_p1_g1,11,34
35,m01_p1_g1,11,35
36,m01_p1_g1,12,36
37,m01_p1_g1,13,37
38,m01_p1_g1,13,38
39,m01_p1_g1,13,39
40,m01_p1_g1,14,40
41,m01_p1_g1,14,41
42,m01_p1_g1,14,42
43,m01_p1_g1,14,43
44,m01_p1_g1,15,44
45,m01_p1_g1,15,45
46,m01_p1_g1,15,46
47,m01_p1_g1,16,47
48,m01_p1_g1,16,48
49,m01_p1_g1,16,49
50,m01_p1_g1,16,50
51,m01_p1_g1,17,51
52,m01_p1_g1,17,52
53,m01_p1_g1,17,53
54,m01_p1_g1,17,54
55,m01_p1_g1,17,55
56,m01_p1_g1,18,56
57,m01_p1_g1,18,57
58,m01_p1_g1,18,58
59,m01_p1_g1,18,59
60,m01_p1_g1,19,60
61,m01_p1_g1,19,61
62,m01_p1_g1,19,62
63,m01_p1_g1,20,63
64,m01_p1_g1,20,64
65,m01_p1_g1,20,65
66,m01_p1_g1,21,66
67,m01_p1_g1,21,67
68,m01_p1_g1,22,68
69,m01_p1_g1,22,69
70,m01_p1_g1,23,70
71,m01_p1_g1,23,71
72,m01_p1_g1,23,72
73,m01_p1_g1,24,73
74,m01_p1_g1,24,74
75,m01_p1_g1,25,75
76,m01_p1_g1,25,76
77,m01_p1_g1,25,77
78,m01_p1_g1,26,78
79,m01_p1_g1,26,79
80,m01_p1_g1,26,80
81,m01_p1_g1,26,81
82,m01_p1_g1,26,82
83,m01_p1_g1,27,83
84,m01_p1_g1,27,84
85,m01_p1_g1,28,85
86,m01_p1_g1,28,86
87,m01_p1_g1,28,87
88,m01_p1_g1,29,88
89,m01_p1_g1,29,89
90,m01_p1_g1,30,90
91,m01_p1_g1,30,91
92,m01_p1_g1,30,92
93,m01_p1_g1,31,93
94,m01_p1_g1,31,94
95,m01_p1_g1,32,95
96,m01_p1_g1,32,96
97,m01_p1_g1,32,97
98,m01_p1_g1,32,98
99,m01_p1_g1,33,99
100,m01_p2_g1,0,0
101,m01_p2_g1,0,1
102,m01_p2_g1,0,2
103,m01_p2_g1,0,3
104,m01_p2_g1,1,4
105,m01_p2_g1,1,5
106,m01_p2_g1,1,6
107,m01_p2_g1,1,7
108,m01_p2_g1,1,8
109,m01_p2_g1,2,9
110,m01_p2_g1,2,10
111,m01_p2_g1,2,11
112,m01_p2_g1,2,12
113,m01_p2_g1,2,13
114,m01_p2_g1,3,14
115,m01_p2_g1,4,15
116,m01_p2_g1,4,16
117,m01_p2_g1,5,17
118,m01_p2_g1,5,18
119,m01_p2_g1,6,19
120,m01_p2_g1,6,20
121,m01_p2_g1,7,21
122,m01_p2_g1,8,22
123,m01_p2_g1,8,23
124,m01_p2_g1,9,24
125,m01_p2_g1,9,25
126,m01_p2_g1,9,26
127,m01_p2_g1,9,27
128,m01_p2_g1,9,28
129,m01_p2_g1,9,29
130,m01_p2_g1,10,30
131,m01_p2_g1,11,31
132,m01_p2_g1,11,32
133,m01_p2_g1,12,33
134,m01_p2_g1,12,34
135,m01_p2_g1,12,35
136,m01_p2_g1,12,36
137,m01_p2_g1,13,37
138,m01_p2_g1,13,38
139,m01_p2_g1,13,39
140,m01_p2_g1,13,40
141,m01_p2_g1,13,41
142,m01_p2_g1,13,42
143,m01_p2_g1,13,43
144,m01_p2_g1,13,44
145,m01_p2_g1,14,45
146,m01_p2_g1,14,46
147,m01_p2_g1,14,47
148,m01_p2_g1,15,48
149,m01_p2_g1,15,49
150,m01_p2_g1,15,50
151,m01_p2_g1,15,51
152,m01_p2_g1,15,52
153,m01_p2_g1,15,53
154,m01_p2_g1,15,54
155,m01_p2_g1,15,55
156,m01_p2_g1,16,56
157,m01_p2_g1,17,57
158,m01_p2_g1,17,58
159,m01_p2_g1,17,59
160,m01_p2_g1,17,60
161,m01_p2_g1,17,61
162,m01_p2_g1,17,62
163,m01_p2_g1,17,63
164,m01_p2_g1,18,64
165,m01_p2_g1,19,65
166,m01_p2_g1,19,66
167,m01_p2_g1,19,67
168,m01_p2_g1,19,68
169,m01_p2_g1,20,69
170,m01_p2_g1,20,70
171,m01_p2_g1,20,71
172,m01_p2_g1,20,72
173,m01_p2_g1,20,73
174,m01_p2_g1,21,74
175,m01_p2_g1,21,75
176,m01_p2_g1,21,76
177,m01_p2_g1,21,77
178,m01_p2_g1,22,78
179,m01_p2_g1,22,79
180,m01_p2_g1,22,80
181,m01_p2_g1,22,81
182,m01_p2_g1,22,82
183,m01_p2_g1,22,83
184,m01_p2_g1,22,84
185,m01_p2_g1,23,85
186,m01_p2_g1,24,86
187,m01_p2_g1,25,87
188,m01_p2_g1,26,88
189,m01_p2_g1,27,89
190,m01_p2_g1,28,90
191,m01_p2_g1,28,91
192,m01_p2_g1,28,92
193,m01_p2_g1,29,93
194,m01_p2_g1,30,94
195,m01_p2_g1,31,95
